﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025080115,    996.8,   1000.2,     31.3,     24.9,       69,      2.2,     40.0,      7.4,    100.0,      0.0,      0.0,      0.0,     0.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080116,    997.8,   1001.2,     30.2,     25.7,       77,      4.3,    300.0,      7.8,    320.0,      0.0,      0.0,      0.0,     0.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080117,    998.1,   1001.5,     27.9,     26.7,       93,      0.5,    100.0,      6.1,    290.0,      7.0,      0.5,      0.0,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080118,    998.6,   1002.0,     27.9,     26.5,       92,      0.5,    120.0,      2.5,    220.0,      0.5,      0.5,      0.0,     0.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080119,    998.9,   1002.3,     28.1,     26.7,       92,      0.6,    150.0,      2.0,    120.0,      1.5,      0.7,      0.0,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080120,    999.0,   1002.4,     27.8,     26.7,       94,      0.8,    220.0,      2.1,    360.0,      0.5,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080121,    999.5,   1002.9,     27.8,     26.7,       94,      0.9,    210.0,      2.0,    240.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080122,   1000.0,   1003.4,     27.7,     25.9,       90,      1.5,    190.0,      3.2,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080123,    999.8,   1003.2,     27.7,     25.9,       90,      1.1,    200.0,      2.4,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080124,    999.6,   1003.0,     27.6,     25.2,       87,      1.1,    170.0,      3.8,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080201,    999.4,   1002.9,     27.4,     24.5,       84,      1.0,    140.0,      2.7,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080202,    999.3,   1002.7,     27.5,     24.2,       82,      2.0,    160.0,      3.9,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080203,    999.3,   1002.7,     27.5,     24.6,       84,      1.6,    180.0,      3.1,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080204,    999.6,   1003.1,     27.0,     24.3,       85,      0.8,    200.0,      2.4,    210.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080205,    999.7,   1003.2,     27.4,     25.1,       87,      1.9,    160.0,      3.7,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080206,   1000.1,   1003.6,     27.6,     24.7,       84,      1.4,    160.0,      3.2,    160.0,      0.0,      0.0,      0.1,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080207,   1000.3,   1003.7,     28.1,     25.1,       84,      0.6,    190.0,      3.7,    180.0,      0.0,      0.0,      0.0,     0.35,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080208,   1000.6,   1004.0,     29.5,     25.3,       78,      1.0,    240.0,      2.2,    230.0,      0.0,      0.0,      0.7,     1.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080209,   1000.6,   1004.0,     31.4,     25.8,       72,      0.6,    170.0,      2.0,    230.0,      0.0,      0.0,      0.6,     1.77,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080210,   1000.7,   1004.1,     31.8,     24.9,       67,      1.1,    290.0,      3.9,    320.0,      0.0,      0.0,      0.5,     1.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080211,   1000.6,   1004.0,     32.6,     24.9,       64,      0.4,    210.0,      3.0,    320.0,      0.0,      0.0,      0.1,     1.73,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080212,    999.9,   1003.3,     33.3,     25.3,       63,      1.1,    360.0,      4.0,    290.0,      0.0,      0.0,      0.7,     2.83,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080213,    999.9,   1003.3,     32.5,     25.8,       68,      2.6,    330.0,     10.5,    250.0,     -9.8,      0.1,      0.2,     1.58,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080214,    999.5,   1002.9,     27.8,     26.0,       90,      1.8,    130.0,      9.3,    260.0,     20.0,      0.4,      0.0,     0.34,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080215,    999.7,   1003.1,     28.7,     25.7,       84,      2.4,    140.0,      5.2,    130.0,      0.0,      0.0,      0.0,     1.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080216,    999.8,   1003.2,     28.6,     25.8,       85,      1.7,    160.0,      4.9,    160.0,     -9.8,      0.1,      0.2,     1.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080217,    999.6,   1003.0,     29.0,     25.6,       82,      0.9,    150.0,      3.2,    100.0,      0.5,      0.0,      0.1,     0.80,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080218,   1000.0,   1003.4,     29.2,     25.6,       81,      1.0,    140.0,      2.3,    250.0,      0.0,      0.0,      0.2,     0.41,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080219,    999.8,   1003.2,     29.1,     25.9,       83,      1.6,    160.0,      2.7,    190.0,      0.0,      0.0,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080220,    999.7,   1003.1,     28.7,     25.7,       84,      1.8,    140.0,      3.6,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080221,   1000.4,   1003.8,     28.5,     25.5,       84,      1.2,    180.0,      2.7,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080222,   1001.4,   1004.8,     28.5,     25.7,       85,      1.3,    240.0,      3.2,    260.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080223,   1001.1,   1004.5,     28.6,     25.4,       83,      1.2,    170.0,      4.3,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080224,   1000.8,   1004.2,     28.2,     25.4,       85,      1.3,    140.0,      3.2,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080301,   1000.5,   1003.9,     27.9,     25.0,       84,      0.5,    200.0,      3.2,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080302,   1000.0,   1003.4,     27.6,     24.7,       84,      1.4,    130.0,      3.9,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080303,   1000.4,   1003.9,     27.4,     24.9,       86,      0.7,    130.0,      3.0,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080304,   1000.3,   1003.8,     27.2,     24.7,       86,      1.9,    180.0,      3.1,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080305,   1000.4,   1003.9,     27.6,     24.1,       81,      2.1,    170.0,      5.3,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080306,   1000.8,   1004.3,     27.2,     24.3,       84,      1.6,    170.0,      4.4,    190.0,     -9.8,      0.1,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080307,   1000.9,   1004.4,     27.6,     24.7,       84,      1.6,    120.0,      4.6,    170.0,      0.0,      0.0,      0.0,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080308,   1001.3,   1004.7,     29.7,     24.4,       73,      0.7,    210.0,      3.4,    160.0,      0.0,      0.0,      0.7,     1.13,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080309,   1001.6,   1005.0,     30.6,     24.5,       70,      1.1,    210.0,      2.9,    210.0,      0.0,      0.0,      0.3,     1.44,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080310,   1001.3,   1004.7,     31.7,     24.6,       66,      2.3,    250.0,      7.1,    300.0,      0.0,      0.0,      0.1,     1.50,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080311,   1001.0,   1004.4,     32.6,     23.8,       60,      3.4,    260.0,     10.9,    270.0,      0.0,      0.0,      0.4,     2.31,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080312,   1000.9,   1004.3,     32.9,     23.6,       58,      3.6,    290.0,      9.7,    240.0,      0.0,      0.0,      0.3,     2.70,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080313,   1000.3,   1003.7,     33.3,     23.7,       57,      1.3,    240.0,      9.6,    250.0,      0.0,      0.0,      0.0,     1.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080314,    999.4,   1002.8,     35.3,     22.7,       48,      2.9,    240.0,     10.1,    300.0,      0.0,      0.0,      0.7,     2.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080315,    999.5,   1002.9,     33.2,     25.5,       64,      3.8,    180.0,      8.9,    300.0,      0.0,      0.0,      0.3,     1.90,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080316,    999.7,   1003.1,     32.5,     25.1,       65,      3.0,    180.0,      6.5,    170.0,      0.0,      0.0,      0.6,     1.78,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080317,   1000.5,   1003.9,     32.2,     23.2,       59,      1.8,    240.0,      5.4,    230.0,      0.0,      0.0,      0.0,     0.48,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080318,   1000.7,   1004.1,     30.8,     24.9,       71,      1.9,    190.0,      7.6,    230.0,      0.0,      0.0,      0.0,     0.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080319,   1000.7,   1004.1,     29.9,     24.3,       72,      2.1,    150.0,      5.6,    140.0,      0.0,      0.0,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080320,   1000.6,   1004.0,     30.2,     24.1,       70,      0.9,    180.0,      4.8,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080321,   1001.0,   1004.4,     30.1,     24.0,       70,      0.9,    140.0,      3.5,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080322,   1001.5,   1004.9,     30.0,     24.4,       72,      1.0,    220.0,      2.2,    200.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080323,   1001.7,   1005.1,     29.6,     24.3,       73,      1.3,    180.0,      2.6,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080324,   1001.5,   1004.9,     29.3,     24.4,       75,      0.6,    150.0,      2.4,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080401,   1001.0,   1004.4,     28.8,     24.4,       77,      1.4,    160.0,      2.3,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080402,   1001.0,   1004.4,     28.4,     24.2,       78,      1.7,    190.0,      3.3,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080403,   1001.1,   1004.5,     28.3,     24.3,       79,      0.5,    130.0,      4.2,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080404,   1001.2,   1004.6,     28.0,     24.4,       81,      1.0,    160.0,      3.8,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080405,   1001.3,   1004.7,     28.0,     24.0,       79,      1.6,    160.0,      4.1,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080406,   1001.4,   1004.9,     28.0,     23.8,       78,      0.5,    160.0,      4.1,    190.0,      0.0,      0.0,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080407,   1002.2,   1005.6,     28.5,     23.7,       75,      1.6,    160.0,      3.1,    160.0,      0.0,      0.0,      0.0,     0.28,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080408,   1002.9,   1006.3,     29.9,     22.9,       66,      1.2,    220.0,      3.3,    290.0,      0.0,      0.0,      0.0,     0.60,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080409,   1002.6,   1006.0,     31.5,     21.7,       56,      1.4,    260.0,      3.3,    280.0,      0.0,      0.0,      0.2,     1.38,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080410,   1002.0,   1005.4,     33.6,     23.0,       54,      0.6,    180.0,      4.9,    340.0,      0.0,      0.0,      0.9,     2.58,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080411,   1001.9,   1005.3,     34.1,     22.6,       51,      0.9,    130.0,      3.2,    100.0,      0.0,      0.0,      0.7,     2.96,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080412,   1001.6,   1005.0,     34.8,     23.5,       52,      1.6,    130.0,      3.7,    110.0,      0.0,      0.0,      0.8,     3.23,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080413,   1001.5,   1004.9,     33.7,     24.6,       59,      3.8,    350.0,      6.3,    350.0,      0.0,      0.0,      0.1,     1.28,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080414,   1000.9,   1004.3,     32.6,     25.2,       65,      1.8,     10.0,      5.6,    350.0,     -9.8,      0.1,      0.0,     1.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080415,   1001.2,   1004.6,     30.4,     26.1,       78,      1.5,     30.0,      6.7,    120.0,     -9.8,      0.4,      0.0,     0.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080416,   1001.1,   1004.5,     30.9,     25.3,       72,      2.4,     50.0,      4.6,     40.0,     -9.8,      0.2,      0.0,     0.59,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080417,   1001.3,   1004.7,     31.3,     25.2,       70,      0.4,    360.0,      4.4,    350.0,      0.0,      0.0,      0.0,     0.60,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080418,   1001.6,   1005.0,     31.1,     24.8,       69,      1.5,     30.0,      3.5,    360.0,      0.0,      0.0,      0.0,     0.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080419,   1002.2,   1005.6,     30.9,     24.3,       68,      0.7,    100.0,      3.3,    100.0,      0.0,      0.0,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080420,   1003.0,   1006.4,     30.0,     25.3,       76,      1.0,    120.0,      4.1,     90.0,     -9.8,      0.3,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080421,   1003.9,   1007.3,     29.9,     25.7,       78,      0.8,    100.0,      3.2,    100.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080422,   1003.9,   1007.3,     29.3,     26.1,       83,      1.4,    150.0,      4.0,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080423,   1003.2,   1006.6,     29.4,     25.4,       79,      1.1,     80.0,      2.7,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080424,   1002.8,   1006.2,     29.2,     25.8,       82,      1.6,    190.0,      3.3,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080501,   1002.1,   1005.5,     28.8,     25.6,       83,      1.4,    140.0,      3.0,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080502,   1002.2,   1005.6,     28.5,     25.5,       84,      1.9,    140.0,      3.7,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080503,   1002.7,   1006.1,     28.5,     25.7,       85,      1.6,    170.0,      2.7,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080504,   1002.9,   1006.4,     28.3,     25.3,       84,      0.9,    180.0,      2.6,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080505,   1003.2,   1006.7,     28.2,     25.2,       84,      1.1,    160.0,      2.8,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080506,   1004.0,   1007.5,     28.1,     25.1,       84,      1.9,    180.0,      3.0,    180.0,      0.0,      0.0,      0.0,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080507,   1004.2,   1007.7,     28.4,     24.6,       80,      1.3,    180.0,      3.7,    180.0,      0.0,      0.0,      0.0,     0.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080508,   1004.6,   1008.0,     30.3,     25.2,       74,      1.0,    140.0,      2.4,    190.0,      0.0,      0.0,      0.7,     1.22,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080509,   1004.9,   1008.3,     32.6,     24.9,       64,      0.9,    120.0,      3.2,     90.0,      0.0,      0.0,      1.0,     2.54,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080510,   1004.8,   1008.2,     33.4,     24.6,       60,      1.8,     90.0,      5.5,     70.0,      0.0,      0.0,      0.8,     2.63,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080511,   1004.5,   1007.9,     33.8,     25.3,       61,      2.0,     20.0,      4.8,     60.0,      0.0,      0.0,      0.4,     2.40,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080512,   1003.9,   1007.3,     33.0,     25.3,       64,      2.1,    350.0,      6.5,    350.0,      0.0,      0.0,      0.0,     1.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080513,   1004.6,   1008.0,     29.1,     26.7,       87,      2.7,    130.0,      9.8,     60.0,     -9.8,      0.2,      0.2,     1.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080514,   1005.0,   1008.5,     25.5,     24.8,       96,      2.8,    130.0,     12.1,    190.0,     54.5,      1.0,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080515,   1004.7,   1008.2,     26.7,     25.5,       93,      2.4,    150.0,      4.9,    130.0,     -9.8,      0.3,      0.0,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080516,   1004.4,   1007.9,     26.3,     24.7,       91,      2.0,    180.0,      3.7,    160.0,      1.5,      0.8,      0.0,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080517,   1004.0,   1007.5,     26.5,     25.3,       93,      0.5,    120.0,      3.6,    200.0,      0.5,      0.4,      0.0,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080518,   1004.3,   1007.8,     27.0,     25.4,       91,      0.8,    160.0,      2.6,     10.0,      0.5,      0.0,      0.0,     0.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080519,   1004.6,   1008.1,     26.7,     25.1,       91,      1.1,    190.0,      3.4,    130.0,      0.0,      0.0,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080520,   1005.5,   1009.0,     26.5,     25.5,       94,      0.4,    210.0,      3.7,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080521,   1006.2,   1009.7,     26.8,     25.4,       92,      1.1,    170.0,      2.6,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
