﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025080101,    996.1,    999.5,     29.4,     24.5,       75,      2.6,    170.0,      4.5,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080102,    996.1,    999.5,     29.0,     24.1,       75,      0.7,    220.0,      5.9,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080103,    995.9,    999.3,     28.9,     24.3,       76,      1.9,    170.0,      3.7,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080104,    996.1,    999.5,     28.4,     23.8,       76,      2.1,    180.0,      4.2,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080105,    996.5,    999.9,     28.3,     24.3,       79,      2.3,    160.0,      4.8,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080106,    997.0,   1000.4,     28.1,     24.1,       79,      1.4,    170.0,      2.7,    180.0,      0.0,      0.0,      0.0,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080107,    997.5,   1000.9,     28.8,     23.9,       75,      1.6,    180.0,      3.4,    170.0,      0.0,      0.0,      0.9,     0.56,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080108,    997.9,   1001.3,     30.4,     24.8,       72,      0.9,    190.0,      2.6,    200.0,      0.0,      0.0,      1.0,     1.38,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080109,    997.7,   1001.1,     31.4,     24.8,       68,      1.1,    230.0,      3.6,    210.0,      0.0,      0.0,      0.5,     1.71,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080110,    998.0,   1001.4,     31.5,     24.4,       66,      0.9,    170.0,      2.6,    280.0,      0.0,      0.0,      0.1,     1.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080111,    998.1,   1001.5,     33.5,     25.5,       63,      1.1,    140.0,      3.3,    120.0,      0.0,      0.0,      0.3,     1.85,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080112,    997.5,   1000.9,     33.6,     26.1,       65,      2.4,    130.0,      5.5,    120.0,      0.0,      0.0,      0.6,     2.73,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080113,    997.2,   1000.6,     33.0,     26.1,       67,      1.8,    340.0,      7.0,    360.0,      0.0,      0.0,      0.2,     1.47,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080114,    996.7,   1000.1,     33.1,     25.9,       66,      2.7,     70.0,      6.8,     60.0,      0.0,      0.0,      0.9,     3.48,     None,     None,     None,     None,     None,     None,     None,     None
