﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025110101,   1014.4,   1017.9,     23.4,     16.9,       67,      2.0,     80.0,      5.3,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110102,   1014.2,   1017.7,     23.3,     16.4,       65,      1.8,    100.0,      5.6,     70.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110103,   1014.0,   1017.6,     23.2,     16.5,       66,      2.3,    100.0,      4.8,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110104,   1014.2,   1017.8,     23.2,     16.5,       66,      0.9,    110.0,      5.0,     70.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110105,   1014.3,   1017.9,     23.1,     16.7,       67,      1.8,    100.0,      4.6,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110106,   1015.1,   1018.7,     23.0,     16.8,       68,      0.9,    100.0,      4.6,     70.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110107,   1015.6,   1019.2,     22.9,     16.9,       69,      2.0,    120.0,      4.6,     80.0,      0.0,      0.0,      0.0,     0.03,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110108,   1016.0,   1019.6,     23.1,     17.1,       69,      2.0,    110.0,      5.8,    100.0,      0.0,      0.0,      0.0,     0.11,     None,     0.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110109,   1016.0,   1019.6,     23.1,     17.8,       72,      1.9,    120.0,      4.8,    130.0,      0.0,      0.0,      0.0,     0.41,     None,     0.81,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110110,   1015.7,   1019.2,     24.3,     18.0,       68,      2.4,    100.0,      7.1,    100.0,      0.0,      0.0,      0.0,     0.97,     None,     2.46,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110111,   1014.4,   1017.9,     24.1,     18.1,       69,      2.4,    110.0,      7.5,    100.0,      0.0,      0.0,      0.0,     0.76,     None,     2.31,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025110112,   1014.0,   1017.6,     23.2,     19.0,       77,      2.2,    150.0,      7.4,    140.0,     -9.8,      0.2,      0.0,     0.27,     None,     0.91,     None,     None,     None,     None,     None,     None,     None,     None
