﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025060214,    996.4,    999.8,     35.3,     24.9,       55,      2.2,    280.0,     10.4,    330.0,      0.0,      0.0,      0.9,     3.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060215,    996.4,    999.8,     34.5,     24.8,       57,      3.4,    300.0,      9.6,    290.0,      0.0,      0.0,      0.5,     2.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060216,    996.0,    999.4,     33.5,     25.2,       62,      1.3,    290.0,      8.4,    320.0,      0.0,      0.0,      0.8,     2.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060217,    996.0,    999.4,     33.3,     25.3,       63,      2.3,    310.0,      6.5,    320.0,      0.0,      0.0,      0.5,     1.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060218,    996.2,    999.6,     32.6,     25.2,       65,      3.0,    290.0,      6.8,    300.0,      0.0,      0.0,      0.8,     0.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060219,    997.1,   1000.5,     32.0,     24.9,       66,      2.1,    290.0,      7.0,    290.0,      0.0,      0.0,      0.0,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060220,    997.4,   1000.8,     31.4,     24.8,       68,      0.8,    230.0,      8.1,    250.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060221,    998.1,   1001.5,     31.1,     24.5,       68,      1.9,    270.0,      5.6,    230.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060222,    998.6,   1002.0,     31.0,     24.4,       68,      1.1,    280.0,      5.4,    230.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060223,    998.4,   1001.8,     30.9,     23.8,       66,      1.2,    280.0,      4.8,    280.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060224,    998.2,   1001.6,     30.6,     23.8,       67,      1.6,    260.0,      5.4,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060301,    997.6,   1001.0,     30.3,     24.0,       69,      1.2,    260.0,      4.4,    300.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060302,    997.3,   1000.7,     29.7,     24.1,       72,      0.4,    999.9,      3.2,    280.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060303,    997.5,   1000.9,     28.8,     24.8,       79,      0.6,    200.0,      2.5,    340.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060304,    997.6,   1001.0,     28.8,     24.8,       79,      1.1,    160.0,      3.5,    300.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060305,    998.6,   1002.0,     29.1,     24.2,       75,      0.7,    340.0,      3.6,    300.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060306,    999.1,   1002.5,     28.3,     24.9,       82,      1.2,    160.0,      5.0,    320.0,      0.0,      0.0,      0.0,     0.09,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060307,    999.6,   1003.0,     28.5,     24.5,       79,      1.4,    140.0,      3.0,    120.0,      0.0,      0.0,      0.0,     0.37,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060308,   1000.2,   1003.6,     29.6,     24.5,       74,      0.8,    180.0,      1.9,    160.0,      0.0,      0.0,      0.0,     0.79,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060309,   1000.5,   1003.9,     30.3,     24.5,       71,      0.5,    110.0,      2.7,    180.0,      0.0,      0.0,      0.0,     1.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060310,   1000.7,   1004.1,     30.4,     25.7,       76,      2.0,     10.0,      4.8,    360.0,      0.0,      0.0,      0.0,     0.59,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060311,   1001.3,   1004.8,     27.5,     26.1,       92,      2.4,    340.0,      8.3,    350.0,      1.0,      0.5,      0.0,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060312,   1001.5,   1005.0,     25.6,     23.8,       90,      2.1,    120.0,      6.9,    110.0,     -9.8,      0.1,      0.0,     0.09,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060313,   1001.1,   1004.6,     24.9,     23.0,       89,      4.0,    100.0,     10.6,     70.0,     -9.8,      0.2,      0.0,     0.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060314,   1001.0,   1004.5,     24.0,     22.3,       90,      3.2,    100.0,     12.5,     60.0,      2.0,      0.8,      0.0,     0.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060315,   1001.0,   1004.5,     23.8,     21.5,       87,      3.5,    100.0,     12.1,     90.0,     -9.8,      0.1,      0.0,     0.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060316,   1001.1,   1004.6,     23.6,     21.5,       88,      3.6,    100.0,      9.9,     90.0,     -9.8,      0.2,      0.0,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060317,   1001.6,   1005.1,     23.9,     21.6,       87,      2.6,    120.0,     10.3,     80.0,      0.0,      0.0,      0.0,     0.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060318,   1002.4,   1005.9,     23.9,     21.4,       86,      3.9,    130.0,     10.7,    120.0,     -9.8,      0.1,      0.0,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060319,   1002.6,   1006.1,     23.4,     20.7,       85,      3.3,    120.0,      9.6,    140.0,     -9.8,      0.3,      0.0,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060320,   1003.3,   1006.8,     23.5,     20.6,       84,      2.8,    110.0,      9.8,    100.0,      0.5,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060321,   1003.8,   1007.3,     23.5,     21.2,       87,      2.7,    100.0,      9.8,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060322,   1004.4,   1007.9,     23.7,     21.2,       86,      3.0,     90.0,      9.7,    110.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060323,   1004.3,   1007.8,     23.8,     21.5,       87,      3.2,    100.0,      8.0,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060324,   1003.8,   1007.3,     23.9,     21.4,       86,      2.1,    110.0,      7.3,     80.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060401,   1003.6,   1007.1,     24.0,     21.5,       86,      2.5,    110.0,      6.4,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060402,   1003.5,   1007.0,     23.5,     22.1,       92,      2.4,    140.0,      6.2,     90.0,     -9.8,      0.2,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060403,   1003.5,   1007.0,     23.4,     22.2,       93,      1.4,    110.0,      5.1,    120.0,     -9.8,      0.2,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060404,   1004.0,   1007.5,     23.3,     22.1,       93,      1.4,    100.0,      5.8,    110.0,     -9.8,      0.3,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060405,   1004.1,   1007.6,     23.0,     22.2,       95,      2.4,    120.0,      5.3,    110.0,      0.5,      0.5,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060406,   1004.8,   1008.3,     22.8,     22.0,       95,      1.8,    120.0,      6.0,    160.0,      1.0,      0.7,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060407,   1005.5,   1009.0,     22.8,     22.0,       95,      2.2,    120.0,      5.0,    140.0,      1.5,      0.7,      0.0,     0.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060408,   1006.0,   1009.5,     23.1,     22.3,       95,      2.2,    110.0,      7.1,    100.0,      1.0,      0.7,      0.0,     0.35,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060409,   1006.3,   1009.8,     23.2,     21.8,       92,      2.8,    100.0,      7.5,     90.0,     -9.8,      0.3,      0.0,     0.46,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060410,   1006.2,   1009.7,     22.9,     21.9,       94,      3.0,    100.0,      9.3,    110.0,      2.0,      0.8,      0.0,     0.53,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060411,   1006.2,   1009.7,     23.0,     22.0,       94,      3.5,    100.0,      8.1,    100.0,      1.5,      0.8,      0.0,     0.48,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060412,   1005.9,   1009.4,     23.7,     22.3,       92,      3.1,    100.0,      8.7,    100.0,      0.5,      0.4,      0.0,     0.84,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060413,   1005.6,   1009.1,     24.2,     22.3,       89,      2.5,     90.0,     10.2,    120.0,      0.0,      0.0,      0.0,     1.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060414,   1005.3,   1008.8,     24.3,     21.8,       86,      3.8,    100.0,      9.0,    100.0,     -9.8,      0.2,      0.0,     1.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060415,   1005.2,   1008.7,     24.4,     21.9,       86,      4.8,    100.0,     10.8,     90.0,      0.0,      0.0,      0.0,     0.81,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060416,   1005.6,   1009.1,     24.2,     22.3,       89,      3.0,     90.0,      9.7,    110.0,     -9.8,      0.2,      0.0,     0.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060417,   1005.8,   1009.3,     24.4,     22.1,       87,      3.0,    100.0,      9.3,     60.0,      0.0,      0.0,      0.0,     0.38,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060418,   1006.2,   1009.7,     24.6,     22.3,       87,      3.6,    100.0,      8.7,    110.0,      0.0,      0.0,      0.0,     0.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060419,   1006.8,   1010.3,     24.5,     22.2,       87,      2.4,    100.0,      9.0,     80.0,      0.0,      0.0,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060420,   1007.1,   1010.6,     24.3,     22.6,       90,      3.0,    110.0,      7.7,     90.0,      0.5,      0.4,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060421,   1007.5,   1011.0,     23.8,     22.8,       94,      2.6,    120.0,      7.9,     90.0,      6.0,      1.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060422,   1007.9,   1011.4,     23.0,     21.5,       91,      3.2,    100.0,      9.2,     80.0,      0.5,      0.5,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060423,   1007.3,   1010.8,     22.7,     20.4,       87,      3.1,    110.0,      8.9,     90.0,      0.5,      0.3,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060424,   1006.4,   1009.9,     23.3,     20.6,       85,      3.8,    100.0,      9.6,     80.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060501,   1005.7,   1009.2,     23.7,     21.2,       86,      3.3,    100.0,      7.6,     80.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060502,   1005.4,   1008.9,     24.1,     21.2,       84,      2.8,    100.0,      7.0,     80.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060503,   1005.3,   1008.8,     24.2,     21.1,       83,      2.7,    100.0,      7.9,     70.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060504,   1005.6,   1009.1,     24.5,     21.0,       81,      3.5,    100.0,      8.0,     80.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060505,   1006.2,   1009.7,     23.5,     21.8,       90,      2.1,    100.0,      9.1,    100.0,      2.0,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060506,   1006.8,   1010.3,     23.5,     22.0,       91,      2.8,    100.0,      8.1,    110.0,     -9.8,      0.1,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060507,   1007.3,   1010.8,     24.0,     22.3,       90,      2.6,    100.0,      7.7,    100.0,      0.5,      0.0,      0.0,     0.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060508,   1007.6,   1011.1,     24.5,     22.4,       88,      2.3,    100.0,      7.0,    100.0,     -9.8,      0.3,      0.0,     0.40,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060509,   1007.9,   1011.4,     24.2,     22.3,       89,      2.0,     90.0,      6.5,     90.0,      1.5,      0.5,      0.0,     0.45,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060510,   1007.8,   1011.3,     24.1,     22.7,       92,      2.3,    110.0,      6.4,     80.0,      1.0,      0.7,      0.0,     0.74,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060511,   1007.5,   1011.0,     24.5,     22.9,       91,      2.5,    100.0,      7.7,     90.0,      0.5,      0.3,      0.0,     1.09,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060512,   1007.1,   1010.6,     25.3,     22.6,       85,      3.4,    100.0,      8.7,     80.0,      0.0,      0.0,      0.0,     1.26,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060513,   1006.6,   1010.1,     25.2,     21.9,       82,      3.6,    100.0,      8.6,    100.0,      0.0,      0.0,      0.0,     0.43,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060514,   1006.3,   1009.8,     25.0,     22.1,       84,      2.9,    100.0,      8.7,    100.0,     -9.8,      0.3,      0.0,     0.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060515,   1006.0,   1009.5,     24.9,     22.6,       87,      2.5,    110.0,      7.7,    110.0,     -9.8,      0.3,      0.0,     0.48,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060516,   1005.8,   1009.3,     25.2,     23.1,       88,      2.5,    110.0,      7.1,    110.0,     -9.8,      0.5,      0.0,     0.62,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060517,   1006.1,   1009.6,     24.4,     22.5,       89,      2.8,    100.0,      7.4,    100.0,      0.5,      0.3,      0.0,     0.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060518,   1006.5,   1010.0,     24.1,     22.5,       91,      3.0,    100.0,      8.7,    110.0,     -9.8,      0.4,      0.0,     0.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060519,   1006.7,   1010.2,     24.3,     22.7,       91,      2.8,    100.0,      7.6,     90.0,     -9.8,      0.1,      0.0,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060520,   1007.0,   1010.5,     24.4,     22.5,       89,      3.6,    100.0,      8.2,     80.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060521,   1007.0,   1010.5,     24.4,     22.5,       89,      3.5,    100.0,      8.9,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
