﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025060101,   1002.4,   1005.9,     26.2,     21.0,       73,      0.6,    190.0,      1.9,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060102,   1002.0,   1005.5,     26.2,     20.8,       72,      1.4,    190.0,      2.7,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060103,   1001.6,   1005.1,     25.8,     20.6,       73,      1.4,    180.0,      3.2,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060104,   1001.7,   1005.2,     25.7,     20.5,       73,      1.2,    180.0,      3.5,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060105,   1001.6,   1005.1,     25.5,     20.3,       73,      1.6,    180.0,      3.9,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060106,   1002.1,   1005.6,     25.8,     20.8,       74,      1.0,    210.0,      4.4,    180.0,      0.0,      0.0,      0.0,     0.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060107,   1002.7,   1006.2,     26.1,     20.7,       72,      1.6,    190.0,      3.5,    180.0,      0.0,      0.0,      0.0,     0.33,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060108,   1002.5,   1006.0,     27.1,     20.9,       69,      0.7,    170.0,      3.1,    180.0,      0.0,      0.0,      0.0,     0.84,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060109,   1002.2,   1005.6,     29.2,     22.5,       67,      1.0,    350.0,      2.7,    350.0,      0.0,      0.0,      0.7,     2.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060110,   1001.6,   1005.0,     30.9,     23.1,       63,      0.9,    100.0,      3.0,     10.0,      0.0,      0.0,      1.0,     2.72,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060111,   1000.7,   1004.1,     32.2,     21.4,       53,      1.1,    240.0,      3.0,    360.0,      0.0,      0.0,      1.0,     3.38,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060112,   1000.2,   1003.6,     32.1,     22.5,       57,      2.6,    360.0,      5.9,    340.0,      0.0,      0.0,      0.6,     2.98,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060113,   1000.0,   1003.4,     32.3,     23.8,       61,      1.7,    360.0,      5.2,    360.0,      0.0,      0.0,      0.0,     1.79,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060114,    999.5,   1002.9,     32.0,     23.0,       59,      2.3,    360.0,      5.5,    360.0,      0.0,      0.0,      0.2,     1.85,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060115,    999.2,   1002.6,     31.9,     22.3,       57,      3.0,    330.0,      6.7,    330.0,      0.0,      0.0,      0.3,     1.51,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060116,    998.9,   1002.3,     31.3,     22.6,       60,      1.8,    330.0,      6.4,    350.0,      0.0,      0.0,      0.4,     1.35,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060117,    998.8,   1002.2,     30.9,     22.8,       62,      1.5,    300.0,      6.3,    300.0,      0.0,      0.0,      0.0,     0.65,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060118,    999.3,   1002.7,     30.3,     23.0,       65,      0.8,    360.0,      3.4,    350.0,      0.0,      0.0,      0.0,     0.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060119,    999.3,   1002.7,     29.6,     22.6,       66,      0.7,     30.0,      3.5,    360.0,      0.0,      0.0,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060120,    999.8,   1003.2,     29.2,     23.2,       70,      1.1,    100.0,      3.4,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060121,   1000.3,   1003.7,     28.7,     23.2,       72,      0.8,     60.0,      2.9,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060122,   1000.5,   1003.9,     28.5,     23.0,       72,      1.1,    110.0,      2.6,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060123,   1000.6,   1004.0,     28.3,     23.0,       73,      0.9,    190.0,      2.6,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060124,    999.8,   1003.2,     27.9,     23.7,       78,      1.6,    190.0,      2.9,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060201,    999.0,   1002.4,     27.7,     23.7,       79,      1.4,    180.0,      2.4,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060202,    998.3,   1001.7,     27.2,     23.5,       80,      1.9,    160.0,      3.4,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060203,    998.0,   1001.4,     27.2,     23.3,       79,      1.5,    140.0,      3.6,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060204,    998.2,   1001.6,     27.1,     23.2,       79,      0.8,    140.0,      3.8,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060205,    998.5,   1002.0,     26.9,     23.0,       79,      2.1,    170.0,      4.5,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060206,    999.1,   1002.6,     26.9,     23.0,       79,      1.0,    170.0,      3.9,    180.0,      0.0,      0.0,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060207,    999.4,   1002.8,     27.7,     23.5,       78,      1.0,    170.0,      1.9,    150.0,      0.0,      0.0,      0.1,     0.42,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060208,    999.1,   1002.5,     29.3,     24.4,       75,      1.4,    240.0,      4.3,    260.0,      0.0,      0.0,      0.2,     0.84,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060209,    998.6,   1002.0,     30.6,     24.5,       70,      3.2,    250.0,      9.7,    220.0,      0.0,      0.0,      0.4,     1.56,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060210,    998.5,   1001.9,     32.5,     25.1,       65,      2.5,    230.0,      6.9,    280.0,      0.0,      0.0,      1.0,     2.92,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060211,    998.0,   1001.4,     34.3,     24.9,       58,      2.3,    230.0,      7.5,    230.0,      0.0,      0.0,      0.9,     3.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060212,    997.9,   1001.3,     35.0,     24.9,       56,      4.4,    290.0,      9.9,    300.0,      0.0,      0.0,      0.7,     2.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060213,    996.8,   1000.2,     35.5,     25.1,       55,      3.2,    300.0,      8.5,    280.0,      0.0,      0.0,      0.8,     3.10,     None,     None,     None,     None,     None,     None,     None,     None
