﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025100101,   1008.7,   1012.2,     28.1,     23.5,       76,      1.4,    200.0,      3.1,    160.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100102,   1008.4,   1011.9,     27.8,     22.8,       74,      2.4,    180.0,      4.3,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100103,   1008.4,   1011.9,     27.7,     23.9,       80,      1.2,    210.0,      3.2,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100104,   1008.7,   1012.2,     27.0,     22.8,       78,      0.7,    140.0,      3.3,    210.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100105,   1009.6,   1013.1,     27.2,     22.6,       76,      1.1,    180.0,      2.2,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100106,   1010.2,   1013.7,     27.0,     22.6,       77,      2.2,    180.0,      4.1,    180.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100107,   1010.0,   1013.5,     27.4,     22.8,       76,      1.0,    200.0,      4.5,    180.0,      0.0,      0.0,      0.5,     0.40,     None,     0.19,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100108,   1009.9,   1013.4,     28.8,     22.8,       70,      1.7,    120.0,      2.9,    160.0,      0.0,      0.0,      1.0,     0.98,     None,     1.09,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100109,   1010.1,   1013.5,     30.7,     23.9,       67,      0.5,    140.0,      3.1,     90.0,      0.0,      0.0,      1.0,     1.86,     None,     3.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100110,   1010.0,   1013.4,     32.7,     23.9,       60,      1.0,     40.0,      3.6,     20.0,      0.0,      0.0,      1.0,     2.40,     None,     5.39,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100111,   1009.4,   1012.8,     33.8,     24.1,       57,      1.2,     30.0,      4.7,    160.0,      0.0,      0.0,      0.8,     2.65,     None,     6.58,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100112,   1008.4,   1011.8,     33.7,     21.9,       50,      1.1,    140.0,      3.7,    120.0,      0.0,      0.0,      0.8,     2.69,     None,     7.30,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100113,   1007.9,   1011.3,     33.2,     24.7,       61,      1.3,    340.0,      6.6,    340.0,      0.0,      0.0,      0.4,     1.72,     None,     5.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100114,   1007.3,   1010.7,     32.8,     24.0,       60,      3.5,    100.0,      7.2,     90.0,      0.0,      0.0,      0.5,     1.76,     None,     4.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100115,   1007.3,   1010.7,     32.3,     24.4,       63,      3.4,     80.0,      8.6,    100.0,      0.0,      0.0,      1.0,     2.20,     None,     3.90,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100116,   1007.6,   1011.0,     31.8,     23.4,       61,      2.9,     70.0,     10.0,     90.0,      0.0,      0.0,      0.9,     1.29,     None,     1.66,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100117,   1008.2,   1011.6,     31.1,     23.5,       64,      3.2,    100.0,      7.4,    100.0,      0.0,      0.0,      1.0,     0.62,     None,     0.45,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100118,   1008.7,   1012.1,     30.5,     22.7,       63,      3.1,    130.0,      7.8,    150.0,      0.0,      0.0,      0.2,     0.07,     None,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100119,   1009.5,   1013.0,     29.7,     22.2,       64,      2.5,    100.0,      8.4,    130.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100120,   1009.9,   1013.4,     29.4,     22.2,       65,      2.4,    120.0,      7.2,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100121,   1010.0,   1013.5,     29.4,     21.9,       64,      2.6,    100.0,      7.9,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100122,   1010.1,   1013.6,     29.3,     21.8,       64,      2.9,    100.0,      6.0,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100123,   1010.1,   1013.6,     29.3,     22.1,       65,      3.3,    110.0,      7.7,    110.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100124,   1010.1,   1013.6,     29.3,     22.1,       65,      3.6,    120.0,      8.2,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100201,   1010.0,   1013.5,     28.8,     22.6,       69,      1.0,     90.0,      7.3,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100202,   1009.6,   1013.1,     28.2,     22.5,       71,      1.7,    150.0,      3.5,     70.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
