﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025100203,   1009.4,   1012.9,     27.7,     21.5,       69,      1.2,    170.0,      3.1,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100204,   1009.2,   1012.7,     27.3,     21.4,       70,      1.5,    170.0,      3.1,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100205,   1009.4,   1012.9,     26.7,     21.2,       72,      1.3,    180.0,      4.1,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100206,   1009.7,   1013.2,     26.6,     21.2,       72,      1.5,    180.0,      4.1,    200.0,      0.0,      0.0,      0.0,     0.01,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100207,   1010.3,   1013.8,     27.1,     21.2,       70,      1.0,    220.0,      2.7,    160.0,      0.0,      0.0,      1.0,     0.38,     None,     0.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100208,   1010.7,   1014.2,     28.7,     22.0,       67,      0.6,    220.0,      2.4,    220.0,      0.0,      0.0,      1.0,     1.03,     None,     1.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100209,   1010.7,   1014.1,     31.2,     22.3,       59,      0.9,    180.0,      2.9,    200.0,      0.0,      0.0,      1.0,     1.94,     None,     3.38,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100210,   1010.3,   1013.7,     32.7,     21.3,       51,      2.5,    120.0,      6.0,    130.0,      0.0,      0.0,      1.0,     2.73,     None,     6.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100211,   1009.9,   1013.3,     32.9,     21.5,       51,      2.0,    130.0,      6.0,    140.0,      0.0,      0.0,      1.0,     2.69,     None,     7.54,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100212,   1009.2,   1012.6,     33.2,     21.4,       50,      2.6,    140.0,      7.4,    110.0,      0.0,      0.0,      1.0,     3.07,     None,     9.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100213,   1008.6,   1012.0,     33.3,     21.8,       51,      3.0,    130.0,      6.7,    120.0,      0.0,      0.0,      1.0,     2.88,     None,     8.39,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100214,   1008.0,   1011.4,     34.5,     22.3,       49,      2.4,    120.0,      6.1,    120.0,      0.0,      0.0,      1.0,     2.77,     None,     6.97,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100215,   1007.6,   1011.0,     33.9,     22.0,       50,      2.1,    120.0,      6.3,    110.0,      0.0,      0.0,      0.9,     2.13,     None,     4.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100216,   1008.0,   1011.4,     32.7,     22.5,       55,      1.2,    300.0,      5.7,    130.0,      0.0,      0.0,      0.1,     0.53,     None,     1.28,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100217,   1008.5,   1011.9,     32.0,     22.4,       57,      0.8,    200.0,      3.8,    330.0,      0.0,      0.0,      0.4,     0.31,     None,     0.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100218,   1009.2,   1012.6,     30.7,     22.1,       60,      2.2,    130.0,      5.1,    110.0,      0.0,      0.0,      0.0,     0.05,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100219,   1010.0,   1013.5,     30.1,     22.0,       62,      2.8,    140.0,      5.0,    130.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100220,   1010.4,   1013.9,     29.6,     22.1,       64,      2.7,    130.0,      6.5,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100221,   1010.5,   1014.0,     29.4,     21.4,       62,      4.3,    120.0,      8.5,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100222,   1010.1,   1013.6,     29.3,     21.5,       63,      2.6,    110.0,      6.7,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100223,   1009.6,   1013.1,     29.2,     21.2,       62,      2.7,    140.0,      5.8,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100224,   1009.4,   1012.9,     29.0,     20.7,       61,      1.7,    120.0,      6.8,    110.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100301,   1009.1,   1012.6,     28.6,     20.6,       62,      1.9,    150.0,      4.4,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100302,   1008.9,   1012.4,     28.0,     20.8,       65,      1.4,    200.0,      4.2,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100303,   1008.7,   1012.2,     27.7,     20.8,       66,      0.9,    180.0,      3.5,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100304,   1008.6,   1012.1,     27.1,     20.5,       67,      2.1,    190.0,      3.8,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100305,   1008.8,   1012.3,     26.9,     20.5,       68,      2.0,    180.0,      3.7,    200.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100306,   1009.5,   1013.0,     26.7,     20.8,       70,      1.6,    180.0,      3.7,    180.0,      0.0,      0.0,      0.0,     0.01,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100307,   1010.4,   1013.9,     26.9,     21.0,       70,      1.3,    170.0,      3.3,    180.0,      0.0,      0.0,      0.4,     0.28,     None,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100308,   1010.8,   1014.3,     28.8,     21.8,       66,      0.5,    150.0,      2.4,    190.0,      0.0,      0.0,      1.0,     1.01,     None,     1.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100309,   1010.6,   1014.0,     31.4,     22.2,       58,      2.5,    140.0,      5.0,    160.0,      0.0,      0.0,      1.0,     1.90,     None,     3.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100310,   1010.2,   1013.6,     32.7,     22.8,       56,      3.1,    130.0,      7.0,    130.0,      0.0,      0.0,      1.0,     2.57,     None,     5.97,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100311,   1009.4,   1012.8,     33.5,     22.9,       54,      3.3,    130.0,      8.0,    100.0,      0.0,      0.0,      1.0,     3.02,     None,     8.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100312,   1008.4,   1011.8,     34.1,     22.6,       51,      3.1,    130.0,      9.3,    100.0,      0.0,      0.0,      1.0,     3.24,     None,     9.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100313,   1007.6,   1011.0,     35.2,     22.9,       49,      2.0,    160.0,      8.4,    140.0,      0.0,      0.0,      0.8,     2.70,     None,     7.94,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100314,   1007.1,   1010.5,     34.6,     24.0,       54,      1.3,    320.0,      5.6,    180.0,      0.0,      0.0,      0.5,     1.89,     None,     4.90,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100315,   1007.4,   1010.8,     33.0,     24.2,       60,      1.6,    310.0,      7.5,    340.0,      0.0,      0.0,      0.6,     1.85,     None,     2.98,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100316,   1007.8,   1011.2,     32.3,     24.4,       63,      0.6,    260.0,      4.8,    350.0,      0.0,      0.0,      0.2,     0.76,     None,     1.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100317,   1008.2,   1011.6,     31.7,     24.3,       65,      0.7,    290.0,      4.0,    340.0,      0.0,      0.0,      0.0,     0.32,     None,     0.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100318,   1008.8,   1012.2,     31.4,     23.5,       63,      1.2,    160.0,      3.8,    180.0,      0.0,      0.0,      0.0,     0.05,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100319,   1009.6,   1013.0,     30.8,     23.5,       65,      1.5,    150.0,      3.9,    130.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100320,   1010.2,   1013.7,     30.3,     23.5,       67,      2.5,    140.0,      3.9,    150.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100321,   1010.6,   1014.1,     30.1,     23.3,       67,      2.5,    140.0,      4.3,    150.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100322,   1010.4,   1013.9,     30.0,     23.2,       67,      1.5,    130.0,      4.5,    150.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100323,   1010.0,   1013.5,     29.8,     23.0,       67,      2.7,    130.0,      7.0,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100324,   1009.5,   1013.0,     29.7,     22.7,       66,      2.5,    130.0,      5.3,    110.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100401,   1009.2,   1012.7,     29.5,     22.5,       66,      2.4,    140.0,      5.9,    110.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100402,   1009.2,   1012.7,     28.8,     22.3,       68,      1.0,    150.0,      5.6,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100403,   1008.8,   1012.3,     29.0,     22.3,       67,      1.3,    140.0,      3.2,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100404,   1008.9,   1012.4,     28.5,     22.5,       70,      1.6,    170.0,      3.5,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100405,   1009.0,   1012.5,     28.0,     22.5,       72,      1.7,    160.0,      3.4,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100406,   1009.2,   1012.7,     27.8,     22.3,       72,      0.9,    190.0,      2.6,    200.0,      0.0,      0.0,      0.0,     0.01,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100407,   1009.5,   1013.0,     28.2,     22.5,       71,      1.0,    160.0,      3.2,    180.0,      0.0,      0.0,      1.0,     0.35,     None,     0.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100408,   1009.9,   1013.4,     29.8,     22.8,       66,      0.4,    180.0,      2.3,    200.0,      0.0,      0.0,      1.0,     1.10,     None,     1.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100409,   1009.7,   1013.1,     31.2,     22.3,       59,      1.2,    120.0,      3.0,    140.0,      0.0,      0.0,      1.0,     1.87,     None,     3.34,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100410,   1009.4,   1012.8,     33.2,     22.4,       53,      0.6,    110.0,      3.3,    160.0,      0.0,      0.0,      1.0,     2.51,     None,     6.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100411,   1009.2,   1012.6,     34.2,     22.0,       49,      0.9,    310.0,      4.4,    140.0,      0.0,      0.0,      1.0,     2.95,     None,     8.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100412,   1008.4,   1011.8,     35.3,     22.3,       47,      0.6,    240.0,      3.4,    360.0,      0.0,      0.0,      1.0,     3.13,     None,     9.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100413,   1008.0,   1011.4,     36.0,     24.6,       52,      1.7,    320.0,      6.5,    330.0,      0.0,      0.0,      1.0,     3.22,     None,     8.56,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100414,   1007.8,   1011.2,     34.8,     25.6,       59,      2.4,    330.0,      7.0,    350.0,      0.0,      0.0,      1.0,     2.68,     None,     6.40,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100415,   1008.0,   1011.4,     33.7,     24.6,       59,      1.9,    310.0,      7.0,    310.0,      0.0,      0.0,      1.0,     2.09,     None,     3.74,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100416,   1008.3,   1011.7,     32.8,     24.3,       61,      1.5,    320.0,      7.1,    320.0,      0.0,      0.0,      1.0,     1.39,     None,     1.60,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100417,   1009.0,   1012.4,     32.1,     24.2,       63,      0.7,    340.0,      5.5,    330.0,      0.0,      0.0,      1.0,     0.60,     None,     0.39,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100418,   1009.3,   1012.7,     30.9,     23.8,       66,      2.6,    360.0,      4.8,    360.0,      0.0,      0.0,      0.0,     0.07,     None,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100419,   1010.1,   1013.5,     31.1,     24.5,       68,      1.2,     10.0,      4.8,    350.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100420,   1010.3,   1013.8,     30.5,     25.1,       73,      1.9,     50.0,      4.2,     40.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100421,   1010.7,   1014.2,     30.2,     25.1,       74,      1.0,     80.0,      3.5,     10.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100422,   1011.1,   1014.6,     29.6,     24.7,       75,      1.6,    140.0,      3.3,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100423,   1011.0,   1014.5,     29.4,     25.0,       77,      1.5,    180.0,      3.8,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100424,   1010.8,   1014.3,     29.0,     24.4,       76,      1.3,    200.0,      4.2,    160.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100501,   1010.6,   1014.1,     28.6,     24.2,       77,      1.7,    200.0,      4.3,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100502,   1010.5,   1014.0,     28.3,     23.9,       77,      1.8,    180.0,      4.3,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100503,   1010.3,   1013.8,     28.0,     23.6,       77,      0.7,    200.0,      4.0,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100504,   1010.4,   1013.9,     27.7,     22.9,       75,      2.8,    180.0,      4.3,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100505,   1010.4,   1013.9,     27.3,     22.7,       76,      1.7,    180.0,      4.1,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100506,   1010.7,   1014.2,     26.9,     22.3,       76,      1.6,    180.0,      3.9,    190.0,      0.0,      0.0,      0.0,     0.01,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100507,   1011.3,   1014.8,     27.2,     22.6,       76,      1.2,    200.0,      4.2,    170.0,      0.0,      0.0,      0.9,     0.32,     None,     0.19,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100508,   1011.7,   1015.2,     28.8,     22.3,       68,      1.0,    220.0,      3.5,    150.0,      0.0,      0.0,      1.0,     1.08,     None,     1.13,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100509,   1011.8,   1015.3,     30.7,     23.6,       66,      0.5,    140.0,      3.1,    180.0,      0.0,      0.0,      1.0,     1.87,     None,     3.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100510,   1011.6,   1015.0,     32.0,     22.7,       58,      0.6,    140.0,      3.0,    360.0,      0.0,      0.0,      1.0,     2.51,     None,     5.72,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100511,   1011.2,   1014.6,     34.3,     21.4,       47,      0.2,      0.0,      2.6,    170.0,      0.0,      0.0,      1.0,     2.96,     None,     7.91,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025100512,   1010.3,   1013.7,     34.9,     23.3,       51,      2.2,    350.0,      5.0,     10.0,      0.0,      0.0,      1.0,     3.15,     None,     8.70,     None,     None,     None,     None,     None,     None,     None,     None
