﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025090202,   1004.6,   1008.1,     27.8,     23.8,       79,      1.7,    160.0,      4.0,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090203,   1004.1,   1007.6,     27.9,     23.5,       77,      1.5,    150.0,      2.9,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090204,   1003.7,   1007.2,     27.9,     23.3,       76,      1.2,    140.0,      2.5,    160.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090205,   1003.4,   1006.9,     27.6,     23.4,       78,      0.3,    200.0,      1.9,    160.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090206,   1004.0,   1007.5,     28.1,     22.8,       73,      1.3,    160.0,      2.6,    170.0,      0.0,      0.0,      0.0,     0.02,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090207,   1004.7,   1008.2,     28.1,     23.9,       78,      1.3,    220.0,      2.8,    220.0,      0.0,      0.0,      0.0,     0.31,     None,     0.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090208,   1005.5,   1009.0,     29.0,     23.7,       73,      1.6,    230.0,      3.0,    220.0,      0.0,      0.0,      0.0,     0.66,     None,     1.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090209,   1005.9,   1009.3,     30.0,     24.2,       71,      1.7,    240.0,      3.9,    230.0,      0.0,      0.0,      0.1,     1.11,     None,     2.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090210,   1006.3,   1009.7,     30.6,     25.0,       72,      2.2,    220.0,      4.1,    240.0,      0.0,      0.0,      0.0,     1.28,     None,     3.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090211,   1006.0,   1009.4,     31.8,     24.9,       67,      1.1,    320.0,      4.8,    330.0,      0.0,      0.0,      0.2,     1.86,     None,     5.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090212,   1005.8,   1009.2,     31.2,     26.3,       75,      0.9,    310.0,      4.3,    330.0,      0.5,      0.2,      0.2,     1.37,     None,     4.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090213,   1005.0,   1008.4,     31.9,     25.8,       70,      2.9,    360.0,      5.5,    360.0,      0.0,      0.0,      0.3,     1.97,     None,     5.87,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090214,   1004.4,   1007.9,     26.0,     24.2,       90,      2.1,    120.0,     12.4,    350.0,     24.0,      0.8,      0.1,     0.50,     None,     1.84,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090215,   1003.8,   1007.3,     28.6,     26.0,       86,      1.2,    140.0,      2.8,    190.0,     -9.8,      0.1,      0.0,     0.72,     None,     2.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090216,   1004.1,   1007.5,     29.6,     25.6,       79,      2.3,    100.0,      5.2,     90.0,      0.0,      0.0,      0.2,     0.97,     None,     1.69,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090217,   1004.1,   1007.5,     29.4,     25.8,       81,      2.2,     90.0,      5.5,    100.0,     -9.8,      0.1,      0.0,     0.35,     None,     0.50,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090218,   1005.4,   1008.9,     27.9,     23.7,       78,      3.5,    250.0,      7.8,    210.0,      0.0,      0.0,      0.0,     0.07,     None,     0.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090219,   1005.4,   1008.9,     25.5,     24.6,       95,      0.9,     90.0,     10.0,     50.0,     14.5,      0.6,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090220,   1005.9,   1009.4,     25.9,     25.4,       97,      0.7,    220.0,      2.4,     40.0,      1.0,      0.4,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090221,   1006.5,   1010.0,     26.2,     25.7,       97,      0.0,      0.0,      2.3,    350.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090222,   1006.4,   1009.9,     26.2,     25.5,       96,      0.7,    200.0,      1.4,    220.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090223,   1006.0,   1009.5,     26.1,     25.4,       96,      0.4,    180.0,      2.6,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090224,   1005.6,   1009.1,     26.0,     25.5,       97,      0.3,    220.0,      1.3,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090301,   1005.2,   1008.7,     25.7,     25.2,       97,      0.9,    210.0,      1.6,    210.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090302,   1004.6,   1008.1,     25.5,     25.0,       97,      0.9,    210.0,      1.8,    270.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090303,   1004.4,   1007.9,     25.3,     24.4,       95,      1.7,    230.0,      3.2,    250.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090304,   1004.5,   1008.0,     25.2,     24.5,       96,      1.0,    220.0,      1.9,    260.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090305,   1004.9,   1008.4,     25.2,     24.7,       97,      1.1,    240.0,      2.4,    250.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090306,   1005.4,   1008.9,     25.4,     24.0,       92,      0.7,    200.0,      2.0,    280.0,      0.0,      0.0,      0.1,     0.03,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090307,   1005.8,   1009.3,     26.2,     23.5,       85,      0.8,    170.0,      1.9,    220.0,      0.0,      0.0,      1.0,     0.47,     None,     0.31,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090308,   1006.3,   1009.8,     28.4,     23.6,       75,      0.7,    210.0,      2.0,    140.0,      0.0,      0.0,      1.0,     1.22,     None,     1.42,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090309,   1006.7,   1010.1,     30.4,     24.1,       69,      0.7,    220.0,      3.7,    250.0,      0.0,      0.0,      0.9,     1.94,     None,     3.53,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090310,   1006.2,   1009.6,     31.2,     24.6,       68,      1.0,    250.0,      3.8,    280.0,      0.0,      0.0,      0.5,     1.90,     None,     5.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090311,   1005.7,   1009.1,     32.1,     25.5,       68,      0.8,    300.0,      6.5,    320.0,      0.0,      0.0,      0.8,     2.80,     None,     7.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090312,   1005.3,   1008.7,     32.8,     24.8,       63,      1.8,    300.0,      5.8,    290.0,      0.0,      0.0,      1.0,     3.48,     None,     9.56,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090313,   1004.5,   1007.9,     33.5,     25.5,       63,      2.3,    340.0,      6.2,    310.0,      0.0,      0.0,      1.0,     3.35,     None,     8.92,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090314,   1003.8,   1007.2,     33.1,     25.1,       63,      2.0,    340.0,      7.3,    340.0,      0.0,      0.0,      1.0,     3.06,     None,     7.49,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090315,   1003.4,   1006.8,     32.6,     24.7,       63,      2.3,    290.0,      6.5,    360.0,      0.0,      0.0,      0.9,     2.36,     None,     4.72,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090316,   1003.9,   1007.3,     30.7,     23.9,       67,      2.9,    140.0,      7.5,    110.0,      0.0,      0.0,      0.3,     1.19,     None,     1.67,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090317,   1004.0,   1007.4,     29.9,     23.4,       68,      2.8,    150.0,      7.0,    130.0,      0.0,      0.0,      0.5,     0.94,     None,     0.85,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090318,   1004.2,   1007.6,     30.0,     24.2,       71,      2.7,    120.0,      5.6,    120.0,      0.0,      0.0,      0.2,     0.25,     None,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090319,   1004.7,   1008.1,     29.8,     24.0,       71,      1.8,    120.0,      6.1,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090320,   1005.6,   1009.0,     29.7,     23.4,       69,      1.6,    130.0,      5.0,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090321,   1006.1,   1009.6,     29.4,     23.6,       71,      1.6,    150.0,      3.8,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090322,   1006.2,   1009.7,     28.5,     24.1,       77,      1.8,    180.0,      4.3,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090323,   1006.0,   1009.5,     28.1,     24.1,       79,      1.6,    170.0,      3.4,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090324,   1005.6,   1009.1,     27.7,     24.2,       81,      1.7,    170.0,      3.2,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090401,   1005.2,   1008.7,     27.4,     23.9,       81,      2.0,    180.0,      3.0,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090402,   1004.7,   1008.2,     27.3,     23.3,       79,      1.1,    200.0,      3.5,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090403,   1004.4,   1007.9,     26.9,     23.0,       79,      1.4,    200.0,      3.8,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090404,   1004.5,   1008.0,     26.7,     23.2,       81,      1.8,    170.0,      3.4,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090405,   1004.6,   1008.1,     26.6,     22.9,       80,      0.9,    160.0,      2.4,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090406,   1005.2,   1008.7,     26.4,     22.5,       79,      1.4,    180.0,      3.3,    180.0,      0.0,      0.0,      0.0,     0.02,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090407,   1005.8,   1009.3,     27.1,     22.9,       78,      1.2,    190.0,      2.7,    160.0,      0.0,      0.0,      0.9,     0.42,     None,     0.27,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090408,   1006.1,   1009.6,     28.8,     23.3,       72,      0.9,    220.0,      2.3,    140.0,      0.0,      0.0,      0.9,     1.11,     None,     1.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090409,   1006.2,   1009.6,     30.8,     24.2,       68,      0.8,    220.0,      3.5,    290.0,      0.0,      0.0,      1.0,     1.95,     None,     3.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090410,   1005.8,   1009.2,     31.9,     24.5,       65,      1.5,    330.0,      3.9,    300.0,      0.0,      0.0,      0.8,     2.41,     None,     5.45,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090411,   1005.4,   1008.8,     31.9,     24.5,       65,      0.7,    280.0,      5.3,    340.0,      0.0,      0.0,      0.6,     2.22,     None,     5.84,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090412,   1004.9,   1008.3,     33.7,     24.9,       60,      0.8,    290.0,      5.0,    290.0,      0.0,      0.0,      0.5,     2.30,     None,     6.54,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090413,   1004.3,   1007.7,     34.0,     24.9,       59,      1.3,    340.0,      6.0,    350.0,      0.0,      0.0,      0.7,     2.80,     None,     7.69,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090414,   1003.5,   1006.9,     34.5,     24.5,       56,      2.7,    330.0,      6.8,    340.0,      0.0,      0.0,      1.0,     3.20,     None,     7.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090415,   1003.8,   1007.3,     27.6,     24.9,       85,      3.0,    120.0,      8.4,     90.0,      3.5,      0.4,      0.3,     1.44,     None,     2.83,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090416,   1004.5,   1008.0,     26.2,     24.1,       88,      2.1,    180.0,     10.7,    190.0,      1.5,      0.3,      0.0,     0.35,     None,     0.64,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090417,   1004.4,   1007.9,     27.4,     24.1,       82,      0.7,    160.0,      6.0,    190.0,      0.0,      0.0,      0.5,     0.87,     None,     0.71,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090418,   1004.1,   1007.6,     28.2,     24.8,       82,      2.1,    160.0,      3.2,    150.0,      0.0,      0.0,      0.8,     0.41,     None,     0.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090419,   1004.7,   1008.2,     28.4,     25.6,       85,      1.5,    130.0,      3.7,    170.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090420,   1005.2,   1008.7,     28.8,     23.7,       74,      2.1,    120.0,      4.7,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090421,   1005.3,   1008.8,     28.8,     23.3,       72,      1.5,     80.0,      4.6,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090422,   1005.5,   1009.0,     28.8,     23.7,       74,      2.3,    130.0,      4.3,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090423,   1005.5,   1009.0,     27.9,     23.9,       79,      1.3,    170.0,      3.6,    220.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090424,   1005.3,   1008.8,     27.1,     23.6,       81,      1.6,    180.0,      3.9,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090501,   1005.0,   1008.5,     26.8,     23.9,       84,      1.1,    160.0,      4.3,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090502,   1004.6,   1008.1,     26.6,     23.9,       85,      0.7,    170.0,      3.5,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090503,   1004.1,   1007.6,     26.4,     23.7,       85,      1.0,    200.0,      2.0,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090504,   1004.4,   1007.9,     26.4,     22.9,       81,      1.5,    220.0,      2.8,    200.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090505,   1005.3,   1008.8,     26.1,     23.2,       84,      1.1,    210.0,      2.3,    220.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090506,   1005.7,   1009.2,     26.0,     22.3,       80,      1.2,    170.0,      2.7,    180.0,      0.0,      0.0,      0.2,     0.03,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090507,   1006.2,   1009.7,     26.6,     22.5,       78,      1.9,    170.0,      4.1,    180.0,      0.0,      0.0,      1.0,     0.45,     None,     0.28,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090508,   1006.5,   1010.0,     28.6,     24.4,       78,      0.9,    150.0,      2.7,    120.0,      0.0,      0.0,      1.0,     1.21,     None,     1.38,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090509,   1006.6,   1010.0,     30.5,     24.2,       69,      0.6,    220.0,      2.1,    160.0,      0.0,      0.0,      1.0,     2.02,     None,     3.65,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090510,   1006.3,   1009.7,     31.8,     23.9,       63,      1.2,     80.0,      2.9,    350.0,      0.0,      0.0,      0.9,     2.64,     None,     6.35,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090511,   1005.4,   1008.8,     34.0,     22.5,       51,      2.6,     90.0,      8.0,     70.0,      0.0,      0.0,      0.9,     3.07,     None,     8.94,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090512,   1005.0,   1008.4,     34.8,     21.9,       47,      3.6,    130.0,      9.1,    120.0,      0.0,      0.0,      1.0,     3.50,     None,    11.03,     None,     None,     None,     None,     None,     None,     None,     None
