﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025090101,   1005.0,   1008.5,     28.7,     22.7,       70,      0.7,    210.0,      3.8,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090102,   1004.9,   1008.4,     28.7,     23.4,       73,      1.5,    180.0,      2.2,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090103,   1005.2,   1008.7,     28.2,     22.9,       73,      1.7,    170.0,      3.3,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090104,   1005.2,   1008.7,     28.2,     22.9,       73,      1.3,    170.0,      3.4,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090105,   1005.3,   1008.8,     27.9,     22.9,       74,      2.1,    180.0,      3.3,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090106,   1005.7,   1009.2,     27.8,     22.5,       73,      2.9,    180.0,      4.9,    190.0,      0.0,      0.0,      0.0,     0.01,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090107,   1005.7,   1009.2,     28.0,     23.4,       76,      1.1,    150.0,      4.1,    190.0,      0.0,      0.0,      0.0,     0.24,     None,     0.22,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090108,   1005.9,   1009.4,     28.7,     23.4,       73,      1.6,    200.0,      3.4,    180.0,      0.0,      0.0,      0.0,     0.53,     None,     0.83,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090109,   1005.9,   1009.3,     29.9,     23.6,       69,      0.4,    150.0,      2.3,    190.0,      0.0,      0.0,      0.0,     0.98,     None,     2.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090110,   1005.7,   1009.1,     32.1,     24.2,       63,      0.4,    140.0,      2.2,    150.0,      0.0,      0.0,      0.2,     1.56,     None,     4.26,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090111,   1005.5,   1008.9,     32.0,     23.8,       62,      1.2,    100.0,      3.8,     80.0,      0.0,      0.0,      0.2,     1.78,     None,     5.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090112,   1005.2,   1008.6,     32.0,     23.8,       62,      1.9,    130.0,      3.9,     90.0,      0.0,      0.0,      0.0,     1.17,     None,     4.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090113,   1004.9,   1008.3,     30.8,     24.7,       70,      1.4,    100.0,      3.5,     50.0,     -9.8,      0.3,      0.0,     0.65,     None,     2.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090114,   1004.3,   1007.7,     30.4,     24.8,       72,      1.9,     40.0,      4.0,     60.0,     -9.8,      0.3,      0.0,     0.56,     None,     2.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090115,   1003.3,   1006.7,     30.2,     24.8,       73,      1.7,    130.0,      3.8,    150.0,     -9.8,      0.1,      0.0,     0.55,     None,     1.72,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090116,   1003.1,   1006.5,     29.9,     24.5,       73,      0.7,    150.0,      4.5,    130.0,     -9.8,      0.1,      0.0,     0.33,     None,     0.82,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090117,   1003.3,   1006.7,     30.2,     23.4,       67,      0.6,    160.0,      3.7,    160.0,     -9.8,      0.1,      0.0,     0.23,     None,     0.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090118,   1003.9,   1007.3,     30.1,     23.8,       69,      1.2,    230.0,      2.0,    190.0,     -9.8,      0.1,      0.0,     0.08,     None,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090119,   1004.6,   1008.0,     29.9,     24.3,       72,      0.4,    260.0,      2.7,    310.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090120,   1005.2,   1008.6,     30.0,     24.4,       72,      0.5,    140.0,      2.4,    280.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090121,   1005.9,   1009.4,     28.8,     25.2,       81,      1.9,    180.0,      4.0,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090122,   1005.8,   1009.3,     28.6,     24.4,       78,      1.9,    170.0,      4.5,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090123,   1005.8,   1009.3,     28.2,     24.4,       80,      1.1,    210.0,      3.3,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090124,   1005.5,   1009.0,     28.3,     23.9,       77,      1.9,    160.0,      3.4,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025090201,   1004.6,   1008.1,     27.8,     24.0,       80,      1.1,    180.0,      3.8,    200.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
