﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025120101,   1012.1,   1015.7,     20.6,     18.9,       90,      0.3,    999.9,      2.6,    330.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120102,   1011.9,   1015.5,     20.7,     19.0,       90,      0.9,    230.0,      2.2,    220.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120103,   1011.6,   1015.2,     20.7,     18.8,       89,      0.7,    270.0,      2.3,    250.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120104,   1012.0,   1015.6,     20.7,     18.8,       89,      1.8,    240.0,      2.9,    250.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120105,   1011.7,   1015.3,     20.5,     18.6,       89,      1.5,    220.0,      3.1,    260.0,     -9.8,      0.2,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120106,   1012.5,   1016.1,     20.3,     19.1,       93,      1.5,    220.0,      2.8,    230.0,      1.0,      0.4,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120107,   1012.8,   1016.4,     20.6,     19.4,       93,      0.9,    320.0,      3.2,    210.0,     -9.8,      0.1,      0.0,     0.03,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120108,   1013.4,   1017.0,     20.7,     19.5,       93,      1.0,    250.0,      2.6,    320.0,      2.5,      0.5,      0.0,     0.12,     None,     0.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120109,   1013.4,   1017.0,     20.9,     19.9,       94,      0.9,    999.9,      2.6,    330.0,      1.5,      0.7,      0.0,     0.10,     None,     0.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120110,   1012.9,   1016.5,     22.0,     20.5,       91,      0.3,     40.0,      2.9,     20.0,      0.0,      0.0,      0.0,     0.66,     None,     1.41,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120111,   1011.9,   1015.4,     23.3,     20.6,       85,      0.9,    180.0,      2.1,    140.0,     -9.8,      0.1,      0.6,     2.05,     None,     3.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120112,   1010.9,   1014.4,     24.4,     18.6,       70,      0.7,    250.0,      2.9,    290.0,      0.0,      0.0,      0.9,     2.37,     None,     5.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120113,   1010.1,   1013.6,     25.6,     18.3,       64,      1.7,    350.0,      5.0,    350.0,      0.0,      0.0,      0.8,     2.11,     None,     4.54,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120114,   1009.4,   1012.9,     25.9,     16.2,       55,      1.9,    340.0,      5.5,    360.0,      0.0,      0.0,      1.0,     2.15,     None,     3.85,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120115,   1009.4,   1012.9,     25.4,     17.1,       60,      0.7,    120.0,      4.5,    350.0,      0.0,      0.0,      0.8,     1.19,     None,     1.86,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120116,   1009.5,   1013.0,     24.5,     18.9,       71,      3.4,    100.0,      7.3,     90.0,      0.0,      0.0,      1.0,     0.92,     None,     0.74,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120117,   1009.9,   1013.4,     23.6,     19.6,       78,      2.3,    110.0,      8.7,     90.0,      0.0,      0.0,      0.4,     0.20,     None,     0.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120118,   1010.3,   1013.8,     23.1,     20.1,       83,      2.7,    110.0,      7.2,    140.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120119,   1010.3,   1013.8,     22.9,     20.1,       84,      2.1,    120.0,      6.1,    100.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120120,   1010.6,   1014.1,     22.6,     20.1,       86,      2.1,    110.0,      6.9,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120121,   1010.5,   1014.0,     22.5,     20.4,       88,      2.5,    110.0,      7.4,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120122,   1010.6,   1014.1,     22.3,     20.4,       89,      2.4,    110.0,      6.2,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120123,   1010.6,   1014.1,     22.3,     20.4,       89,      2.6,    100.0,      6.7,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120124,   1010.6,   1014.2,     22.2,     20.7,       91,      1.8,    120.0,      6.7,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120201,   1010.4,   1013.9,     22.2,     20.7,       91,      1.9,    120.0,      6.8,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120202,   1010.4,   1013.9,     22.4,     20.5,       89,      1.7,    110.0,      5.8,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120203,   1010.6,   1014.1,     22.3,     20.2,       88,      0.5,     60.0,      4.1,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120204,   1010.7,   1014.3,     22.1,     20.2,       89,      1.4,    240.0,      2.1,    360.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120205,   1011.3,   1014.9,     21.9,     19.6,       87,      0.3,    360.0,      2.8,     10.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120206,   1011.6,   1015.2,     21.6,     18.8,       84,      2.5,    120.0,      5.1,    110.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120207,   1012.5,   1016.1,     21.5,     19.1,       86,      1.4,    120.0,      5.6,    120.0,      0.0,      0.0,      0.0,     0.05,     None,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120208,   1012.7,   1016.3,     22.2,     19.2,       83,      2.6,    120.0,      5.2,    120.0,      0.0,      0.0,      0.1,     0.36,     None,     0.40,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120209,   1013.0,   1016.5,     23.0,     19.4,       80,      2.7,    100.0,      7.6,    110.0,      0.0,      0.0,      0.4,     0.89,     None,     1.41,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120210,   1012.8,   1016.3,     24.5,     19.6,       74,      4.0,    100.0,      8.2,     70.0,      0.0,      0.0,      0.9,     1.89,     None,     3.39,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120211,   1012.1,   1015.6,     25.3,     19.2,       69,      3.1,    100.0,      9.0,    100.0,      0.0,      0.0,      0.8,     1.91,     None,     4.69,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120212,   1011.3,   1014.8,     24.8,     18.0,       66,      2.4,     90.0,      7.7,    100.0,      0.0,      0.0,      0.8,     2.28,     None,     5.65,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120213,   1010.6,   1014.1,     24.9,     18.4,       67,      4.1,    100.0,      9.3,     90.0,      0.0,      0.0,      0.6,     2.13,     None,     5.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120214,   1010.5,   1014.0,     24.9,     18.4,       67,      2.8,    100.0,      9.2,    110.0,      0.0,      0.0,      0.6,     1.71,     None,     3.70,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120215,   1010.9,   1014.4,     24.3,     17.3,       65,      4.1,     50.0,      9.2,     40.0,      0.0,      0.0,      0.5,     1.03,     None,     2.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120216,   1011.5,   1015.0,     23.2,     17.0,       68,      2.6,     50.0,      8.4,     40.0,      0.0,      0.0,      0.1,     0.48,     None,     0.72,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120217,   1012.3,   1015.9,     22.7,     16.3,       67,      1.7,     90.0,      7.1,     60.0,      0.0,      0.0,      0.2,     0.18,     None,     0.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120218,   1013.1,   1016.7,     22.3,     16.6,       70,      2.6,    100.0,      7.0,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120219,   1013.8,   1017.4,     22.3,     16.6,       70,      2.2,    100.0,      6.9,    110.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120220,   1014.0,   1017.6,     22.0,     17.4,       75,      2.0,    110.0,      6.3,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120221,   1014.2,   1017.8,     22.0,     17.2,       74,      2.0,    110.0,      6.2,    110.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120222,   1014.1,   1017.7,     21.8,     17.0,       74,      2.3,    140.0,      7.0,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120223,   1014.4,   1018.0,     21.9,     16.6,       72,      2.3,    100.0,      8.0,     50.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120224,   1014.7,   1018.3,     21.6,     17.4,       77,      1.6,     80.0,      6.9,    100.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120301,   1014.7,   1018.3,     21.2,     17.0,       77,      2.9,    110.0,      6.7,     90.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120302,   1015.1,   1018.7,     20.9,     16.5,       76,      2.3,    100.0,      6.7,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120303,   1015.2,   1018.8,     20.7,     15.7,       73,      2.3,     90.0,      6.7,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120304,   1015.7,   1019.3,     20.4,     15.2,       72,      2.4,     90.0,      6.8,     60.0,     -9.8,      0.2,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120305,   1016.3,   1019.9,     20.0,     15.0,       73,      1.9,     80.0,      7.6,    100.0,     -9.8,      0.3,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120306,   1017.5,   1021.1,     18.9,     15.6,       81,      1.7,     60.0,      5.3,     60.0,     -9.8,      0.7,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120307,   1018.5,   1022.1,     18.5,     15.0,       80,      1.5,     50.0,      6.7,     60.0,      0.5,      0.6,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120308,   1019.6,   1023.2,     18.4,     14.7,       79,      1.7,    100.0,      4.8,    100.0,     -9.8,      0.5,      0.0,     0.01,     None,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120309,   1020.2,   1023.8,     18.3,     14.2,       77,      1.3,     70.0,      5.4,     90.0,     -9.8,      0.4,      0.0,     0.04,     None,     0.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120310,   1020.5,   1024.1,     18.8,     13.2,       70,      2.5,     60.0,      7.6,     90.0,     -9.8,      0.1,      0.0,     0.07,     None,     0.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120311,   1020.5,   1024.1,     18.6,     13.5,       72,      2.1,     60.0,      4.5,    360.0,     -9.8,      0.5,      0.0,     0.09,     None,     0.30,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120312,   1019.9,   1023.5,     18.7,     11.8,       64,      1.2,     80.0,      7.2,     50.0,     -9.8,      0.3,      0.0,     0.15,     None,     0.51,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120313,   1019.4,   1023.0,     18.6,     10.7,       60,      2.9,     70.0,      8.5,     90.0,     -9.8,      0.1,      0.0,     0.18,     None,     0.59,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120314,   1019.1,   1022.7,     18.6,     11.4,       63,      2.2,     20.0,      5.3,     10.0,      0.0,      0.0,      0.0,     0.12,     None,     0.37,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120315,   1019.1,   1022.7,     18.5,     10.9,       61,      2.3,     50.0,      6.9,     40.0,      0.0,      0.0,      0.0,     0.11,     None,     0.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120316,   1019.4,   1023.0,     18.4,     10.5,       60,      2.6,     60.0,      8.1,     50.0,      0.0,      0.0,      0.0,     0.06,     None,     0.09,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120317,   1020.0,   1023.6,     18.4,     10.5,       60,      3.2,     60.0,      8.8,     60.0,      0.0,      0.0,      0.0,     0.01,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120318,   1020.5,   1024.1,     18.3,     11.6,       65,      2.6,    100.0,      8.1,     50.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120319,   1021.0,   1024.6,     17.4,     11.9,       70,      3.2,    100.0,      9.1,    110.0,     -9.8,      0.1,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120320,   1021.4,   1025.0,     17.3,     11.8,       70,      2.0,    120.0,      7.4,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
