﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025120321,   1021.7,   1025.3,     17.6,     10.7,       64,      2.9,    100.0,      7.2,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120322,   1021.7,   1025.3,     17.8,     10.2,       61,      2.6,     90.0,      7.5,     50.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120323,   1021.7,   1025.3,     17.5,      9.9,       61,      2.1,     90.0,     10.0,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120324,   1021.5,   1025.2,     17.1,      9.0,       59,      2.0,     80.0,     10.7,     60.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120401,   1021.2,   1024.9,     17.1,      8.3,       56,      2.7,    100.0,      9.0,    110.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120402,   1020.7,   1024.3,     17.1,      8.0,       55,      2.8,     90.0,     10.3,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120403,   1020.5,   1024.1,     17.2,      8.4,       56,      2.5,    100.0,     11.0,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120404,   1020.4,   1024.0,     17.2,      8.4,       56,      3.1,    100.0,      9.6,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120405,   1020.7,   1024.3,     17.2,      8.9,       58,      3.3,    100.0,     11.9,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120406,   1020.8,   1024.4,     17.4,      8.8,       57,      2.5,    120.0,      8.1,    130.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120407,   1021.1,   1024.7,     17.5,      8.9,       57,      2.9,    130.0,      7.2,    120.0,      0.0,      0.0,      0.0,     0.01,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120408,   1020.9,   1024.5,     17.9,      9.5,       58,      2.8,    110.0,      8.5,    100.0,      0.0,      0.0,      0.0,     0.21,     None,     0.26,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120409,   1020.9,   1024.5,     18.4,      9.8,       57,      2.8,    110.0,      8.4,    120.0,      0.0,      0.0,      0.0,     0.49,     None,     0.85,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120410,   1020.3,   1023.9,     19.1,     10.7,       58,      2.4,    110.0,      9.4,    120.0,      0.0,      0.0,      0.1,     0.91,     None,     1.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120411,   1019.9,   1023.5,     20.1,     10.5,       54,      3.4,    110.0,     11.5,     90.0,      0.0,      0.0,      0.3,     1.44,     None,     3.40,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120412,   1018.9,   1022.5,     19.9,     10.6,       55,      3.7,    100.0,     11.6,    110.0,      0.0,      0.0,      0.3,     1.79,     None,     4.67,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120413,   1018.3,   1021.9,     20.4,     11.1,       55,      4.2,    100.0,     13.0,    100.0,      0.0,      0.0,      1.0,     2.58,     None,     5.68,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120414,   1017.4,   1021.0,     19.8,     11.3,       58,      5.0,     90.0,     13.0,     90.0,      0.0,      0.0,      0.3,     1.48,     None,     3.27,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120415,   1017.4,   1021.0,     19.6,     10.9,       57,      4.7,    110.0,     13.0,    120.0,      0.0,      0.0,      0.1,     1.03,     None,     1.83,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120416,   1017.5,   1021.1,     19.4,     11.7,       61,      3.6,    120.0,     11.2,    130.0,      0.0,      0.0,      0.1,     0.59,     None,     0.72,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120417,   1018.2,   1021.8,     19.1,     11.9,       63,      2.6,    120.0,     10.2,     80.0,      0.0,      0.0,      0.0,     0.12,     None,     0.13,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120418,   1018.9,   1022.5,     18.9,     12.2,       65,      3.8,    100.0,      9.6,    100.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120419,   1019.1,   1022.7,     19.1,     11.7,       62,      2.6,    110.0,      8.3,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120420,   1019.4,   1023.0,     19.2,     11.5,       61,      2.7,    110.0,      8.6,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120421,   1019.9,   1023.5,     18.7,     12.7,       68,      3.0,    120.0,     11.5,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120422,   1020.0,   1023.6,     18.8,     12.3,       66,      3.9,    120.0,      9.8,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120423,   1019.7,   1023.3,     18.9,     12.2,       65,      3.0,    120.0,      9.0,    110.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120424,   1019.5,   1023.1,     18.8,     12.6,       67,      1.7,    120.0,      8.2,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120501,   1019.4,   1023.0,     18.8,     12.3,       66,      2.2,    120.0,      6.9,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120502,   1019.0,   1022.6,     18.7,     12.2,       66,      1.6,    110.0,      5.7,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120503,   1018.8,   1022.4,     18.7,     12.2,       66,      1.7,    100.0,      4.1,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120504,   1018.5,   1022.1,     18.8,     12.8,       68,      2.4,    110.0,      6.4,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120505,   1018.6,   1022.2,     18.8,     12.8,       68,      3.2,    100.0,      7.4,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120506,   1019.2,   1022.8,     19.0,     13.0,       68,      2.5,    110.0,      6.4,     80.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120507,   1019.7,   1023.3,     18.9,     13.1,       69,      3.0,    100.0,      8.0,    100.0,      0.0,      0.0,      0.0,     0.02,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120508,   1020.2,   1023.8,     18.6,     13.7,       73,      2.4,    120.0,      7.0,    100.0,      0.0,      0.0,      0.0,     0.23,     None,     0.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120509,   1020.4,   1024.0,     18.7,     13.6,       72,      3.3,     90.0,      8.7,    100.0,      0.0,      0.0,      0.0,     0.56,     None,     1.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120510,   1020.2,   1023.8,     18.9,     14.2,       74,      4.2,    110.0,     10.7,     80.0,      0.0,      0.0,      0.0,     0.69,     None,     1.61,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120511,   1019.7,   1023.3,     18.8,     14.1,       74,      3.0,    100.0,      9.7,     90.0,      0.0,      0.0,      0.0,     0.81,     None,     2.22,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025120512,   1018.6,   1022.2,     19.4,     14.2,       72,      3.4,    100.0,      9.0,     90.0,      0.0,      0.0,      0.1,     1.36,     None,     3.63,     None,     None,     None,     None,     None,     None,     None,     None
