﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025050101,   1009.0,   1012.5,     23.8,     18.9,       74,      1.0,    200.0,      4.7,    160.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050102,   1008.8,   1012.3,     23.6,     19.8,       79,      1.1,    210.0,      2.6,    220.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050103,   1008.7,   1012.2,     23.4,     18.7,       75,      1.7,    180.0,      2.9,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050104,   1008.7,   1012.2,     23.3,     18.6,       75,      1.9,    180.0,      3.2,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050105,   1008.9,   1012.4,     23.0,     18.6,       76,      1.2,    180.0,      3.1,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050106,   1009.1,   1012.6,     23.2,     18.7,       76,      0.3,    200.0,      2.0,    180.0,      0.0,      0.0,      0.0,     0.03,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050107,   1009.3,   1012.8,     23.3,     19.1,       77,      1.7,    170.0,      2.7,    160.0,      0.0,      0.0,      0.0,     0.27,     None,     0.26,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050108,   1009.2,   1012.7,     23.8,     19.1,       75,      1.4,    110.0,      3.1,    170.0,      0.0,      0.0,      0.0,     0.57,     None,     0.92,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050109,   1009.6,   1013.1,     24.8,     19.0,       70,      1.0,    140.0,      2.7,    170.0,      0.0,      0.0,      0.0,     0.67,     None,     1.45,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050110,   1009.4,   1012.9,     25.3,     19.0,       68,      0.6,    170.0,      2.4,    180.0,      0.0,      0.0,      0.0,     0.60,     None,     1.69,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050111,   1009.6,   1013.1,     26.5,     19.2,       64,      1.1,    330.0,      3.2,     10.0,      0.0,      0.0,      0.0,     0.61,     None,     1.90,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050112,   1009.6,   1013.1,     26.8,     19.2,       63,      2.2,    310.0,      5.5,    290.0,      0.0,      0.0,      0.0,     1.14,     None,     3.58,     None,     None,     None,     None,     None,     None,     None,     None
