﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025050113,   1009.3,   1012.8,     27.8,     18.2,       56,      3.0,    300.0,      8.3,    280.0,      0.0,      0.0,      0.0,     1.65,     None,     4.85,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050114,   1009.0,   1012.5,     27.2,     18.0,       57,      2.2,    290.0,      9.9,    270.0,      0.0,      0.0,      0.0,     1.07,     None,     3.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050115,   1008.0,   1011.5,     28.2,     18.0,       54,      1.9,    280.0,      8.3,    290.0,      0.0,      0.0,      0.6,     2.26,     None,     4.78,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050116,   1007.1,   1010.6,     27.6,     17.8,       55,      2.1,    240.0,      7.4,    240.0,      0.0,      0.0,      0.1,     1.11,     None,     2.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050117,   1006.9,   1010.4,     27.6,     17.2,       53,      2.0,    270.0,      6.2,    240.0,      0.0,      0.0,      0.0,     0.68,     None,     0.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050118,   1007.4,   1010.9,     27.5,     17.4,       54,      2.1,    250.0,      5.0,    220.0,      0.0,      0.0,      0.3,     0.35,     None,     0.22,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050119,   1007.7,   1011.2,     27.2,     17.7,       56,      1.1,    260.0,      3.5,    240.0,      0.0,      0.0,      0.0,     0.01,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050120,   1008.8,   1012.3,     26.2,     18.6,       63,      0.6,    260.0,      2.6,    280.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050121,   1009.6,   1013.1,     25.7,     19.1,       67,      0.9,    230.0,      3.0,    360.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050122,   1010.4,   1013.9,     24.4,     19.7,       75,      1.8,    180.0,      3.2,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050123,   1010.5,   1014.0,     23.9,     19.4,       76,      1.7,    180.0,      3.9,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050124,   1009.8,   1013.3,     23.4,     19.6,       79,      1.2,    160.0,      4.4,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050201,   1009.2,   1012.7,     23.2,     19.4,       79,      1.5,    180.0,      3.9,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050202,   1008.9,   1012.4,     22.6,     19.0,       80,      1.7,    180.0,      4.0,    190.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050203,   1008.9,   1012.4,     22.5,     18.7,       79,      0.8,    160.0,      3.6,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050204,   1009.3,   1012.8,     22.9,     18.9,       78,      1.5,    120.0,      4.5,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050205,   1009.5,   1013.0,     22.7,     18.9,       79,      2.1,    140.0,      4.8,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050206,   1009.7,   1013.2,     22.9,     20.1,       84,      2.3,    120.0,      6.5,    110.0,      0.0,      0.0,      0.1,     0.08,     None,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050207,   1010.0,   1013.5,     24.0,     20.3,       80,      3.0,    110.0,      7.4,    100.0,      0.0,      0.0,      0.9,     0.59,     None,     0.45,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050208,   1010.1,   1013.6,     26.0,     20.1,       70,      3.2,    100.0,      9.2,    120.0,      0.0,      0.0,      1.0,     1.47,     None,     1.76,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050209,   1010.1,   1013.6,     27.3,     19.9,       64,      4.4,    100.0,     10.3,    120.0,      0.0,      0.0,      1.0,     2.28,     None,     4.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050210,   1010.0,   1013.5,     28.7,     19.1,       56,      4.0,    110.0,     11.8,    120.0,      0.0,      0.0,      1.0,     2.95,     None,     6.89,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050211,   1009.5,   1013.0,     29.3,     19.9,       57,      4.2,    110.0,     11.7,    120.0,      0.0,      0.0,      0.8,     2.99,     None,     8.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050212,   1009.2,   1012.7,     28.8,     19.2,       56,      6.1,    130.0,     11.6,    140.0,      0.0,      0.0,      0.6,     2.94,     None,     8.73,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050213,   1008.3,   1011.8,     29.1,     19.7,       57,      5.1,    120.0,     12.4,     90.0,      0.0,      0.0,      0.8,     3.17,     None,     9.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050214,   1007.4,   1010.9,     29.8,     15.2,       41,      5.0,    140.0,     13.6,    130.0,      0.0,      0.0,      0.9,     3.12,     None,     8.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050215,   1007.0,   1010.5,     29.3,     16.9,       47,      5.6,    130.0,     12.6,    110.0,      0.0,      0.0,      1.0,     2.80,     None,     5.83,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050216,   1006.6,   1010.1,     29.2,     15.7,       44,      3.7,    120.0,     10.9,    130.0,      0.0,      0.0,      1.0,     2.08,     None,     3.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050217,   1006.7,   1010.2,     28.6,     15.5,       45,      2.8,    150.0,      9.2,    100.0,      0.0,      0.0,      1.0,     1.23,     None,     1.19,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050218,   1006.9,   1010.4,     27.6,     15.0,       46,      3.1,    120.0,      9.6,    130.0,      0.0,      0.0,      0.9,     0.44,     None,     0.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050219,   1007.1,   1010.6,     26.9,     14.0,       45,      3.0,    120.0,      9.1,    170.0,      0.0,      0.0,      0.0,     0.02,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050220,   1007.4,   1010.9,     26.8,     13.2,       43,      3.8,    130.0,      8.6,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050221,   1007.8,   1011.3,     26.5,     12.2,       41,      2.4,    140.0,      6.7,    110.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050222,   1007.8,   1011.3,     26.1,     11.9,       41,      1.8,    140.0,      5.7,    150.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050223,   1007.7,   1011.2,     25.9,     12.0,       42,      1.9,    150.0,      5.8,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050224,   1007.2,   1010.7,     25.2,     12.8,       46,      0.9,    170.0,      3.8,    160.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050301,   1006.7,   1010.2,     24.6,     13.8,       51,      1.0,    180.0,      3.9,    160.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050302,   1006.8,   1010.3,     24.1,     14.0,       53,      2.1,    170.0,      4.4,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050303,   1007.0,   1010.5,     24.1,     14.2,       54,      1.2,    220.0,      3.6,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050304,   1007.2,   1010.7,     23.7,     15.2,       59,      1.7,    180.0,      4.0,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050305,   1007.7,   1011.2,     23.2,     15.3,       61,      2.2,    180.0,      3.7,    170.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050306,   1008.4,   1011.9,     22.9,     15.8,       64,      0.3,    140.0,      4.7,    170.0,      0.0,      0.0,      0.0,     0.04,     None,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050307,   1009.1,   1012.6,     23.5,     16.3,       64,      1.0,    150.0,      2.7,    160.0,      0.0,      0.0,      0.0,     0.42,     None,     0.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050308,   1009.4,   1012.9,     24.7,     16.7,       61,      0.8,    200.0,      3.2,     90.0,      0.0,      0.0,      0.2,     1.03,     None,     1.43,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050309,   1009.4,   1012.9,     26.5,     19.4,       65,      0.7,    110.0,      2.3,    320.0,      0.0,      0.0,      0.8,     1.82,     None,     3.48,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050310,   1009.0,   1012.5,     28.9,     20.6,       61,      1.2,    310.0,      6.1,    300.0,      0.0,      0.0,      0.4,     1.80,     None,     4.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050311,   1008.4,   1011.8,     30.2,     20.5,       56,      1.7,    280.0,      6.0,    350.0,      0.0,      0.0,      0.5,     2.51,     None,     6.90,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050312,   1007.8,   1011.2,     30.8,     20.1,       53,      1.9,    310.0,      6.4,    310.0,      0.0,      0.0,      0.5,     2.90,     None,     8.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050313,   1007.1,   1010.6,     29.7,     20.0,       56,      3.4,    340.0,      6.7,    320.0,      0.0,      0.0,      0.1,     1.54,     None,     4.92,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050314,   1006.2,   1009.6,     30.1,     20.4,       56,      1.4,    290.0,      5.8,    340.0,      0.0,      0.0,      0.1,     1.66,     None,     4.81,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050315,   1005.8,   1009.3,     29.3,     20.5,       59,      1.7,    350.0,      5.7,    360.0,      0.0,      0.0,      0.0,     1.25,     None,     3.22,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050316,   1005.2,   1008.6,     29.7,     20.3,       57,      1.2,    120.0,      3.2,    320.0,      0.0,      0.0,      0.1,     1.11,     None,     2.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050317,   1005.2,   1008.6,     29.7,     20.9,       59,      1.8,    180.0,      3.8,    200.0,      0.0,      0.0,      0.1,     0.53,     None,     0.86,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050318,   1005.6,   1009.1,     29.1,     20.6,       60,      1.2,    130.0,      3.5,    150.0,      0.0,      0.0,      0.0,     0.13,     None,     0.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050319,   1006.2,   1009.7,     29.1,     19.7,       57,      1.8,    140.0,      3.9,    130.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050320,   1006.7,   1010.2,     28.8,     20.0,       59,      1.1,    130.0,      4.1,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050321,   1007.2,   1010.7,     28.0,     19.5,       60,      1.7,    100.0,      3.3,    100.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050322,   1007.5,   1011.0,     27.4,     20.3,       65,      1.3,     70.0,      4.2,     90.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050323,   1007.3,   1010.8,     27.6,     19.9,       63,      1.2,    130.0,      2.7,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050324,   1007.1,   1010.6,     26.5,     20.8,       71,      1.3,    190.0,      2.6,    140.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050401,   1007.0,   1010.5,     26.0,     20.8,       73,      1.6,     50.0,      4.1,    120.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050402,   1006.8,   1010.3,     25.5,     20.1,       72,      1.0,     10.0,      5.1,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050403,   1006.6,   1010.1,     25.5,     20.3,       73,      0.9,    230.0,      3.2,     60.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050404,   1006.5,   1010.0,     25.2,     20.5,       75,      1.3,    150.0,      2.2,    210.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050405,   1006.5,   1010.0,     25.0,     20.9,       78,      0.7,    190.0,      1.9,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050406,   1006.8,   1010.3,     25.0,     20.1,       74,      0.9,     70.0,      2.4,     90.0,      0.0,      0.0,      0.0,     0.04,     None,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050407,   1006.8,   1010.3,     25.7,     19.4,       68,      2.3,     90.0,      6.4,    110.0,      0.0,      0.0,      0.1,     0.40,     None,     0.37,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050408,   1007.1,   1010.6,     26.5,     20.1,       68,      4.0,    110.0,      9.8,     90.0,      0.0,      0.0,      0.2,     1.04,     None,     1.62,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050409,   1007.5,   1011.0,     27.3,     21.1,       69,      4.0,    100.0,     12.8,     90.0,      0.0,      0.0,      0.9,     2.17,     None,     4.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050410,   1007.6,   1011.1,     27.5,     21.8,       71,      4.0,     70.0,     12.7,     80.0,      0.0,      0.0,      0.9,     2.55,     None,     6.45,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050411,   1007.4,   1010.9,     26.3,     21.3,       74,      4.8,    100.0,     13.0,    110.0,      0.0,      0.0,      0.3,     1.98,     None,     6.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050412,   1007.1,   1010.6,     27.1,     22.1,       74,      4.1,     90.0,     14.3,    100.0,      0.0,      0.0,      0.1,     2.53,     None,     8.19,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050413,   1006.6,   1010.1,     26.1,     21.1,       74,      3.2,     90.0,     13.1,    100.0,      0.0,      0.0,      0.2,     2.06,     None,     6.77,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050414,   1006.3,   1009.8,     25.6,     21.3,       77,      3.5,     70.0,     12.6,    100.0,      0.0,      0.0,      0.0,     1.22,     None,     4.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050415,   1006.0,   1009.5,     25.8,     21.5,       77,      3.3,     90.0,     11.6,     80.0,      0.0,      0.0,      0.0,     1.38,     None,     3.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050416,   1006.0,   1009.5,     25.8,     21.7,       78,      4.4,    100.0,     12.3,    110.0,      0.0,      0.0,      0.2,     1.58,     None,     2.83,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050417,   1006.2,   1009.7,     25.0,     21.5,       81,      4.2,    100.0,     10.8,    100.0,      0.0,      0.0,      0.0,     0.67,     None,     0.96,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050418,   1006.5,   1010.0,     24.9,     21.8,       83,      3.4,     90.0,     10.5,    100.0,      0.0,      0.0,      0.0,     0.18,     None,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050419,   1006.9,   1010.4,     24.9,     22.0,       84,      3.8,    100.0,     10.4,     80.0,      0.0,      0.0,      0.0,     0.02,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050420,   1007.4,   1010.9,     25.1,     22.0,       83,      2.8,    100.0,      8.8,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050421,   1007.6,   1011.1,     25.5,     22.0,       81,      2.3,    100.0,      7.1,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050422,   1007.6,   1011.1,     25.9,     21.8,       78,      2.8,    100.0,      7.2,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050423,   1007.5,   1011.0,     25.9,     21.4,       76,      4.0,    120.0,      8.2,    120.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050424,   1007.3,   1010.8,     25.9,     20.5,       72,      3.4,    130.0,      9.4,    120.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050501,   1006.4,   1009.9,     25.6,     20.2,       72,      1.5,     90.0,      6.3,    140.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050502,   1005.0,   1008.5,     25.0,     20.1,       74,      0.4,     60.0,      4.1,     70.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050503,   1004.6,   1008.1,     25.2,     20.0,       73,      0.7,     60.0,      1.4,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050504,   1004.8,   1008.3,     25.4,     20.0,       72,      1.0,    170.0,      2.0,    160.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050505,   1005.0,   1008.5,     25.2,     19.8,       72,      1.3,    180.0,      3.1,    180.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050506,   1004.8,   1008.3,     25.1,     20.8,       77,      1.4,    220.0,      3.0,    200.0,      0.0,      0.0,      0.0,     0.06,     None,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050507,   1005.1,   1008.6,     25.2,     20.5,       75,      1.3,    220.0,      2.7,    180.0,      0.0,      0.0,      0.0,     0.20,     None,     0.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050508,   1005.5,   1009.0,     26.4,     21.2,       73,      1.0,    160.0,      2.9,    120.0,      0.0,      0.0,      0.1,     0.69,     None,     1.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050509,   1004.9,   1008.4,     28.2,     22.5,       71,      1.1,    220.0,      3.1,    260.0,      0.0,      0.0,      0.6,     1.79,     None,     3.70,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050510,   1004.8,   1008.2,     29.6,     23.1,       68,      2.4,    310.0,      6.6,    310.0,      0.0,      0.0,      0.4,     1.88,     None,     5.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050511,   1004.5,   1007.9,     29.9,     23.1,       67,      1.7,    320.0,      7.3,    280.0,      0.0,      0.0,      0.3,     1.91,     None,     5.99,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025050512,   1003.5,   1006.9,     30.8,     23.0,       63,      2.4,    320.0,      7.3,    320.0,      0.0,      0.0,      0.7,     2.85,     None,     8.81,     None,     None,     None,     None,     None,     None,     None,     None
