﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025010213,   1015.0,   1018.6,     18.9,     13.8,       72,      2.8,    120.0,      8.1,    100.0,      0.0,      0.0,      0.0,     0.98,     None,     3.34,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010214,   1014.6,   1018.2,     18.7,     13.1,       70,      3.6,    110.0,      9.2,    100.0,      0.0,      0.0,      0.0,     1.00,     None,     3.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010215,   1014.3,   1017.9,     19.0,     13.6,       71,      2.5,    110.0,      8.6,    130.0,      0.0,      0.0,      0.1,     0.87,     None,     2.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010216,   1014.5,   1018.1,     18.7,     13.6,       72,      2.8,    130.0,      8.2,    100.0,      0.5,      0.0,      0.0,     0.31,     None,     0.67,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010217,   1014.7,   1018.3,     18.6,     13.5,       72,      2.9,    120.0,      7.3,    120.0,      0.0,      0.0,      0.0,     0.11,     None,     0.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010218,   1015.3,   1018.9,     18.3,     13.6,       74,      2.1,    130.0,      5.3,    110.0,      0.0,      0.0,      0.0,     0.00,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010219,   1016.1,   1019.7,     18.4,     13.3,       72,      1.6,    120.0,      4.2,    100.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010220,   1016.5,   1020.1,     17.9,     13.8,       77,      2.5,    100.0,      9.0,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010221,   1016.9,   1020.5,     17.1,     14.7,       86,      2.4,    130.0,      7.1,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010222,   1017.1,   1020.7,     16.8,     15.0,       89,      2.6,    130.0,      6.7,    120.0,     -9.8,      0.1,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010223,   1016.9,   1020.5,     16.8,     15.0,       89,      2.1,    110.0,      5.5,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010224,   1016.9,   1020.5,     16.6,     14.4,       87,      2.3,    100.0,      7.2,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010301,   1017.0,   1020.6,     16.5,     14.5,       88,      2.2,    100.0,      7.6,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010302,   1017.0,   1020.6,     16.2,     13.5,       84,      3.1,    100.0,      7.0,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010303,   1017.0,   1020.6,     16.0,     13.5,       85,      1.8,    110.0,      7.4,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010304,   1017.0,   1020.6,     16.5,     11.2,       71,      2.7,    100.0,      6.1,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010305,   1017.2,   1020.8,     16.6,     10.2,       66,      2.4,    100.0,      6.6,     60.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010306,   1017.7,   1021.3,     16.6,     10.5,       67,      2.1,    110.0,      5.8,     60.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010307,   1018.4,   1022.0,     16.6,     10.5,       67,      1.7,     70.0,      7.1,     60.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010308,   1019.1,   1022.7,     16.8,     10.4,       66,      2.1,     80.0,      8.2,     40.0,      0.0,      0.0,      0.0,     0.08,     None,     0.13,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010309,   1019.4,   1023.0,     16.9,     10.1,       64,      2.3,    100.0,      8.4,    100.0,      0.0,      0.0,      0.0,     0.18,     None,     0.48,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010310,   1019.4,   1023.0,     17.2,      9.9,       62,      2.6,    100.0,      8.4,    100.0,      0.0,      0.0,      0.0,     0.38,     None,     1.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010311,   1019.1,   1022.7,     17.1,     10.3,       64,      2.5,     90.0,      7.9,    110.0,      0.0,      0.0,      0.0,     0.43,     None,     1.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010312,   1018.7,   1022.3,     16.6,     10.5,       67,      2.3,     90.0,      9.5,     90.0,      0.0,      0.0,      0.0,     0.31,     None,     1.19,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010313,   1018.1,   1021.7,     16.5,     10.6,       68,      3.5,    100.0,      8.3,     40.0,      0.0,      0.0,      0.0,     0.34,     None,     1.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010314,   1018.0,   1021.6,     16.9,      9.4,       61,      2.4,    100.0,      7.8,    100.0,      0.0,      0.0,      0.0,     0.29,     None,     0.99,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010315,   1018.2,   1021.8,     17.0,      9.0,       59,      3.0,     90.0,      8.1,     80.0,      0.0,      0.0,      0.0,     0.27,     None,     0.79,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010316,   1018.5,   1022.1,     17.1,      8.8,       58,      2.3,    100.0,      7.7,     70.0,      0.0,      0.0,      0.0,     0.15,     None,     0.35,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010317,   1019.2,   1022.9,     16.5,     10.8,       69,      3.4,    100.0,      9.5,     90.0,     -9.8,      0.2,      0.0,     0.07,     None,     0.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010318,   1019.4,   1023.0,     16.8,     10.2,       65,      2.2,    100.0,      7.1,    130.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010319,   1019.6,   1023.2,     16.9,      8.6,       58,      2.4,    100.0,     10.2,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010320,   1019.8,   1023.5,     16.5,      9.2,       62,      1.8,    120.0,      5.6,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010321,   1020.0,   1023.7,     16.4,      9.1,       62,      2.3,    140.0,      5.7,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010322,   1019.9,   1023.6,     16.5,      9.2,       62,      3.0,    140.0,      6.8,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010323,   1019.3,   1022.9,     17.0,      9.9,       63,      2.3,    120.0,      6.6,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010324,   1018.8,   1022.4,     16.8,      8.8,       59,      3.9,    100.0,      9.6,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010401,   1018.7,   1022.3,     16.6,      8.1,       57,      3.4,    100.0,     14.1,     60.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010402,   1018.3,   1021.9,     16.4,      8.6,       60,      2.9,    100.0,      9.7,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010403,   1018.0,   1021.6,     16.4,      8.9,       61,      3.4,    100.0,     10.1,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010404,   1017.8,   1021.4,     16.4,      8.9,       61,      2.8,    140.0,      7.9,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010405,   1017.5,   1021.1,     16.5,      9.5,       63,      3.2,    110.0,      8.6,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010406,   1018.4,   1022.0,     16.9,      9.8,       63,      3.2,    110.0,      9.8,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010407,   1018.8,   1022.4,     17.3,      7.9,       54,      2.9,    100.0,      8.7,    120.0,      0.0,      0.0,      0.0,     0.00,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010408,   1019.5,   1023.1,     16.8,     11.7,       72,      4.0,     90.0,      9.7,    100.0,     -9.8,      0.1,      0.0,     0.08,     None,     0.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010409,   1019.8,   1023.4,     17.2,     11.0,       67,      3.4,    110.0,      8.5,     90.0,      0.0,      0.0,      0.0,     0.34,     None,     0.72,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010410,   1019.9,   1023.5,     18.0,     10.4,       61,      3.3,    130.0,     11.5,    110.0,      0.0,      0.0,      0.0,     0.74,     None,     1.98,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010411,   1019.3,   1022.9,     18.6,     10.5,       59,      4.1,    110.0,     10.0,    110.0,      0.0,      0.0,      0.0,     0.90,     None,     2.86,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010412,   1018.1,   1021.7,     19.5,     10.8,       57,      3.6,    130.0,      9.8,    110.0,      0.0,      0.0,      0.0,     1.31,     None,     3.96,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010413,   1017.1,   1020.7,     19.0,     10.6,       58,      4.6,    100.0,     11.6,    120.0,      0.0,      0.0,      0.2,     1.46,     None,     4.48,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010414,   1016.5,   1020.1,     19.4,     11.5,       60,      4.8,    110.0,     13.5,    130.0,      0.0,      0.0,      0.6,     1.74,     None,     4.39,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010415,   1016.4,   1020.0,     19.5,     11.8,       61,      3.9,    100.0,     13.5,     80.0,      0.0,      0.0,      0.7,     1.55,     None,     3.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010416,   1016.4,   1020.0,     18.7,     11.5,       63,      4.1,    120.0,     12.2,     90.0,      0.0,      0.0,      0.6,     0.86,     None,     1.38,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010417,   1016.3,   1019.9,     18.2,     12.0,       67,      4.5,    120.0,     13.3,    100.0,      0.0,      0.0,      0.9,     0.36,     None,     0.38,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010418,   1016.4,   1020.0,     17.8,     12.5,       71,      4.0,    100.0,     10.2,    120.0,      0.0,      0.0,      0.0,     0.01,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010419,   1016.8,   1020.4,     17.8,     12.9,       73,      4.0,    110.0,      9.3,     80.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010420,   1017.3,   1020.9,     18.1,     13.0,       72,      3.4,    100.0,      9.9,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010421,   1017.3,   1020.9,     18.4,     13.3,       72,      3.5,    100.0,      8.5,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010422,   1016.5,   1020.1,     18.5,     13.6,       73,      3.7,    100.0,      9.8,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010423,   1016.0,   1019.6,     18.6,     13.7,       73,      3.0,    110.0,      8.1,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010424,   1016.1,   1019.7,     18.7,     13.4,       71,      2.6,    100.0,      8.0,     80.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010501,   1016.1,   1019.7,     18.7,     13.1,       70,      3.1,    100.0,      9.3,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010502,   1015.9,   1019.5,     18.6,     13.3,       71,      2.4,    110.0,      6.2,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010503,   1015.4,   1019.0,     18.4,     13.5,       73,      1.5,     90.0,      4.1,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010504,   1015.2,   1018.8,     17.6,     13.7,       78,      0.8,    160.0,      2.6,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010505,   1015.5,   1019.1,     17.1,     13.8,       81,      1.2,    140.0,      2.1,    230.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010506,   1015.7,   1019.3,     17.0,     13.5,       80,      1.1,    130.0,      3.2,    130.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010507,   1016.0,   1019.6,     16.8,     13.5,       81,      0.4,    210.0,      2.1,    130.0,      0.0,      0.0,      0.0,     0.01,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010508,   1016.7,   1020.3,     17.2,     13.9,       81,      1.1,    240.0,      2.8,    230.0,      0.0,      0.0,      0.0,     0.23,     None,     0.35,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010509,   1016.8,   1020.4,     18.5,     13.6,       73,      0.7,    190.0,      1.7,    270.0,      0.0,      0.0,      0.2,     0.63,     None,     1.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010510,   1016.1,   1019.7,     19.7,     13.6,       68,      1.2,    180.0,      2.3,    150.0,      0.0,      0.0,      0.8,     1.49,     None,     3.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010511,   1014.9,   1018.5,     20.8,     13.8,       64,      0.7,    200.0,      2.4,    130.0,      0.0,      0.0,      0.2,     1.46,     None,     3.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010512,   1014.2,   1017.8,     22.5,     13.9,       58,      1.3,    320.0,      4.3,    300.0,      0.0,      0.0,      0.8,     2.36,     None,     5.97,     None,     None,     None,     None,     None,     None,     None,     None
