﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025010101,   1017.2,   1020.9,     16.0,      8.5,       61,      2.8,    130.0,      8.7,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010102,   1016.6,   1020.2,     16.1,      8.8,       62,      2.2,    150.0,      7.7,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010103,   1016.3,   1019.9,     16.3,      9.0,       62,      2.0,    110.0,      5.6,    140.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010104,   1015.8,   1019.4,     16.2,      9.2,       63,      2.4,    100.0,      5.6,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010105,   1015.8,   1019.4,     16.5,     10.1,       66,      3.2,    110.0,      8.5,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010106,   1016.4,   1020.0,     16.6,     10.7,       68,      2.9,    110.0,      9.8,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010107,   1016.4,   1020.0,     16.6,     10.9,       69,      2.9,    110.0,      6.5,    130.0,      0.0,      0.0,      0.0,     0.02,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010108,   1016.7,   1020.3,     17.0,     11.3,       69,      3.9,    120.0,      8.7,    120.0,      0.0,      0.0,      0.0,     0.22,     None,     0.31,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010109,   1016.9,   1020.5,     17.4,     11.2,       67,      2.7,    120.0,      9.2,    130.0,      0.0,      0.0,      0.0,     0.28,     None,     0.62,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010110,   1016.7,   1020.3,     17.6,     12.3,       71,      3.6,    120.0,      9.2,    100.0,     -9.8,      0.1,      0.0,     0.44,     None,     1.30,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010111,   1016.3,   1019.9,     17.1,     13.4,       79,      2.4,    120.0,      8.3,    120.0,     -9.8,      0.4,      0.0,     0.47,     None,     1.68,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010112,   1015.3,   1018.9,     16.2,     14.0,       87,      2.9,    100.0,      7.9,    100.0,     -9.8,      0.7,      0.0,     0.51,     None,     1.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010113,   1014.0,   1017.6,     16.7,     14.2,       85,      3.2,    100.0,      8.6,    100.0,     -9.8,      0.1,      0.0,     0.54,     None,     2.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010114,   1013.5,   1017.1,     16.9,     13.8,       82,      2.9,    100.0,     10.0,     80.0,      0.0,      0.0,      0.0,     0.59,     None,     1.99,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010115,   1013.5,   1017.1,     16.3,     14.5,       89,      3.2,    100.0,      9.6,     90.0,      0.5,      0.4,      0.0,     0.36,     None,     1.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010116,   1013.6,   1017.2,     16.2,     14.4,       89,      3.8,    100.0,      9.8,    100.0,     -9.8,      0.2,      0.0,     0.13,     None,     0.33,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010117,   1013.8,   1017.4,     15.9,     14.8,       93,      2.9,    100.0,      8.7,     90.0,     -9.8,      0.7,      0.0,     0.06,     None,     0.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010118,   1014.3,   1017.9,     16.2,     14.7,       91,      3.1,    100.0,      8.3,     90.0,      0.5,      0.3,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010119,   1014.5,   1018.1,     16.2,     15.1,       93,      3.4,    100.0,      9.5,    100.0,     -9.8,      0.7,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010120,   1015.3,   1018.9,     16.4,     15.3,       93,      2.8,    100.0,      7.9,     90.0,      0.5,      0.7,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010121,   1015.2,   1018.8,     16.3,     15.5,       95,      2.9,    100.0,      6.1,     90.0,      2.0,      1.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010122,   1015.3,   1018.9,     16.4,     15.8,       96,      2.1,    130.0,      7.6,     80.0,      2.5,      1.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010123,   1014.9,   1018.5,     16.6,     16.0,       96,      1.5,    110.0,      5.0,    160.0,      1.5,      0.9,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010124,   1014.7,   1018.3,     16.6,     16.0,       96,      1.6,     90.0,      5.0,     80.0,      0.5,      0.8,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010201,   1015.1,   1018.7,     16.7,     16.1,       96,      1.4,     20.0,      3.6,    120.0,      0.5,      0.7,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010202,   1015.2,   1018.8,     16.7,     16.4,       98,      1.2,    340.0,      2.3,     10.0,      1.5,      0.8,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010203,   1015.3,   1018.9,     16.6,     16.3,       98,      0.5,    180.0,      2.1,    350.0,      2.5,      1.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010204,   1015.3,   1018.9,     16.5,     16.0,       97,      0.6,    160.0,      2.3,    250.0,      1.0,      0.7,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010205,   1015.3,   1018.9,     16.0,     14.7,       92,      2.0,    140.0,      4.5,    100.0,     -9.8,      0.3,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010206,   1016.1,   1019.7,     15.8,     14.5,       92,      2.2,    110.0,      5.1,    100.0,     -9.8,      0.1,      0.0,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010207,   1016.7,   1020.4,     15.8,     14.5,       92,      2.2,    120.0,      5.5,    120.0,      0.0,      0.0,      0.0,     0.01,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010208,   1017.7,   1021.3,     16.2,     14.6,       90,      1.9,    130.0,      4.6,    120.0,      0.0,      0.0,      0.0,     0.09,     None,     0.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010209,   1018.2,   1021.8,     16.6,     14.3,       86,      2.9,    140.0,      6.0,    140.0,      0.0,      0.0,      0.0,     0.41,     None,     0.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010210,   1018.0,   1021.6,     16.7,     14.4,       86,      2.9,    120.0,      6.6,    120.0,      0.0,      0.0,      0.0,     0.55,     None,     1.56,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010211,   1017.3,   1020.9,     17.7,     14.6,       82,      2.1,    130.0,      6.4,    140.0,      0.0,      0.0,      0.0,     1.06,     None,     3.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025010212,   1016.0,   1019.6,     19.0,     14.1,       73,      2.6,    100.0,      6.3,    150.0,      0.0,      0.0,      0.0,     1.45,     None,     4.57,     None,     None,     None,     None,     None,     None,     None,     None
